gene,lfc_a_minus_b,mean_a,mean_b,frac_a,frac_b,pval,padj
Uba52,0.4153573513031006,1.77582848072052,1.3604711294174194,0.9771428571428571,0.9392888117953165,1.2255826258620819e-40,4.902330503448328e-37
Gm10076,0.3711954355239868,2.354661226272583,1.9834657907485962,0.9961904761904762,0.9809193408499567,6.513699226609878e-36,2.6054796906439515e-32
Lst1,0.45965373516082764,2.2076973915100098,1.7480436563491821,0.9885714285714285,0.9661751951431049,6.725823053334662e-34,2.6903292213338647e-30
Ly6c2,0.9332444667816162,2.4805681705474854,1.5473237037658691,0.9752380952380952,0.7996530789245446,2.084922763863763e-32,8.339691055455053e-29
Mt2,-0.33770012855529785,0.16278989613056183,0.5004900097846985,0.20952380952380953,0.5628794449262793,4.2955231083168685e-32,1.7182092433267473e-28
Ccl5,0.4615796208381653,0.7284295558929443,0.26684993505477905,0.5847619047619048,0.25585429314830876,2.0714617156102072e-30,8.285846862440829e-27
Ms4a6c,0.42018842697143555,3.1573643684387207,2.737175941467285,0.9961904761904762,0.9939288811795317,3.5239345572215514e-29,1.4095738228886207e-25
Mt1,-0.5366891026496887,0.8015722632408142,1.338261365890503,0.6952380952380952,0.9045967042497832,1.3481222114273749e-25,5.3924888457094995e-22
H2-Aa,0.4201453924179077,0.6189632415771484,0.19881786406040192,0.4666666666666667,0.16825672159583693,2.835120539372242e-25,1.1340482157488968e-21
H2-Eb1,0.3656504154205322,0.5136407613754272,0.14799034595489502,0.42857142857142855,0.12402428447528187,5.495745386345768e-25,2.1982981545383073e-21
Ly6e,0.3410794734954834,3.1847665309906006,2.843687057495117,1.0,0.9930615784908933,3.113400495518097e-24,1.2453601982072388e-20
Cmss1,-0.3935791254043579,1.5728462934494019,1.9664254188537598,0.9809523809523809,0.9913269731136166,1.2018661932636417e-22,4.807464773054567e-19
Clec4a1,0.4367581605911255,1.5208725929260254,1.0841144323349,0.9161904761904762,0.8282740676496098,4.472751907469659e-22,1.7891007629878633e-18
B2m,0.2127528190612793,4.41478967666626,4.2020368576049805,1.0,0.9991326973113617,5.379807236326781e-22,2.151922894530712e-18
Fcer1g,0.22926902770996094,3.7689809799194336,3.5397119522094727,0.9980952380952381,0.9991326973113617,4.313637150838482e-21,1.7254548603353926e-17
Clec4a3,0.5548548698425293,1.7191412448883057,1.1642863750457764,0.9238095238095239,0.836947094535993,6.957351756438115e-21,2.782940702575246e-17
H2-Ab1,0.3915651738643646,0.6925564408302307,0.3009912669658661,0.5580952380952381,0.2983521248915872,5.513574858080979e-20,2.2054299432323915e-16
Ahnak,-0.407757043838501,0.9545004367828369,1.362257480621338,0.8076190476190476,0.9167389418907199,6.000296896079856e-19,2.4001187584319424e-15
Cd300c2,0.34623289108276367,1.7896819114685059,1.4434490203857422,0.9809523809523809,0.9332176929748482,8.3447826853980745e-19,3.3379130741592298e-15
Rps27,0.2743055820465088,2.3412396907806396,2.066934108734131,0.9980952380952381,0.9878577623590633,3.473406851449859e-18,1.3893627405799435e-14
Gzmc,0.214959517121315,0.4056088626384735,0.1906493455171585,0.5295238095238095,0.3018213356461405,4.0770736455407636e-18,1.6308294582163053e-14
Cox7c,0.22964811325073242,1.8973113298416138,1.6676632165908813,0.9866666666666667,0.9679098005203816,8.871332626949868e-18,3.5485330507799474e-14
Camk1d,-0.374872088432312,1.2290138006210327,1.6038858890533447,0.900952380952381,0.9653078924544666,8.957714677470022e-18,3.583085870988009e-14
Cd74,0.6165339946746826,1.5177382230758667,0.9012042284011841,0.8171428571428572,0.6045099739809193,9.603519145557204e-18,3.8414076582228815e-14
Rpl12,-0.3131910562515259,1.9934152364730835,2.3066062927246094,0.979047619047619,0.9921942758022549,3.611705863562744e-17,1.4446823454250976e-13
Ier3,-0.5176701545715332,1.175118327140808,1.6927884817123413,0.7847619047619048,0.8889852558542931,4.562886498604038e-17,1.8251545994416152e-13
Mrc1,-0.5141939520835876,0.5378665328025818,1.0520604848861694,0.44952380952380955,0.6825672159583694,4.360409683381794e-16,1.7441638733527176e-12
Ctsh,0.28354740142822266,2.0992345809936523,1.8156871795654297,0.9923809523809524,0.9679098005203816,5.581614308590573e-16,2.2326457234362293e-12
Pcolce,-0.10703334212303162,0.05813707038760185,0.16517041623592377,0.08571428571428572,0.2766695576756288,8.073920703186734e-16,3.2295682812746934e-12
mt-Co3,-0.354630708694458,2.0128231048583984,2.3674538135528564,0.9771428571428571,0.9835212489158717,3.220174859523356e-15,1.2880699438093423e-11
Pdpn,-0.3346613943576813,0.4433586895465851,0.7780200839042664,0.44,0.5949696444058976,7.758570276076608e-15,3.103428110430643e-11
Slc7a8,-0.28122830390930176,0.6826676726341248,0.9638959765434265,0.700952380952381,0.8308759757155247,2.1844515938157277e-14,8.737806375262911e-11
Cd53,0.22321510314941406,1.707152247428894,1.48393714427948,0.979047619047619,0.9575021682567216,2.929383865138342e-14,1.1717535460553366e-10
Spi1,0.23489165306091309,2.0353572368621826,1.8004655838012695,0.9885714285714285,0.9765828274067649,3.0069274206347405e-14,1.202770968253896e-10
Atxn1,-0.27404728531837463,0.3734019696712494,0.647449254989624,0.41523809523809524,0.611448395490026,6.439813036077773e-14,2.575925214431109e-10
Pfn1,0.17848634719848633,3.0565152168273926,2.8780288696289062,1.0,0.9965307892454467,1.4978293166086736e-13,5.991317266434694e-10
Pf4,-0.8271763324737549,1.427720308303833,2.254896640777588,0.6761904761904762,0.8013876843018214,1.5438808372246142e-13,6.175523348898457e-10
Tyrobp,0.1771090030670166,3.045480489730835,2.8683714866638184,0.9980952380952381,0.9965307892454467,2.6773124462656863e-13,1.0709249785062745e-09
Ucp2,0.2504856586456299,2.1195340156555176,1.8690483570098877,0.979047619047619,0.9696444058976583,2.8908401246383994e-13,1.1563360498553598e-09
Trrap,-0.13146288692951202,0.11454179883003235,0.24600468575954437,0.17523809523809525,0.3764093668690373,3.034585074434893e-13,1.2138340297739573e-09
Pld4,0.2991337776184082,1.3777457475662231,1.078611969947815,0.9295238095238095,0.8568950563746748,3.7048006632696846e-13,1.4819202653078738e-09
Gzma,0.07553160190582275,0.09406138956546783,0.01852978952229023,0.1580952380952381,0.03555941023417172,3.93259022861162e-13,1.573036091444648e-09
Rtp4,0.22002077102661133,1.4605869054794312,1.2405661344528198,0.9485714285714286,0.9098005203816132,4.3413846415387223e-13,1.736553856615489e-09
Cd52,0.37630152702331543,2.8678066730499268,2.4915051460266113,0.9961904761904762,0.9765828274067649,6.05689346899788e-13,2.422757387599152e-09
Gngt2,0.2885074019432068,1.1847633123397827,0.8962559103965759,0.8761904761904762,0.7935819601040763,6.189752598750454e-13,2.4759010395001813e-09
Itm2b,0.2108156681060791,3.1858391761779785,2.9750235080718994,0.9980952380952381,0.9965307892454467,6.377188336996373e-13,2.550875334798549e-09
Cst3,0.20587372779846191,2.9440958499908447,2.738222122192383,0.9961904761904762,0.9930615784908933,6.753692136219532e-13,2.701476854487813e-09
Cd48,0.2428613305091858,1.0871094465255737,0.8442481160163879,0.8647619047619047,0.8178664353859497,7.127075377576912e-13,2.850830151030765e-09
Plac8,0.4936361312866211,2.4194211959838867,1.9257850646972656,0.9695238095238096,0.8855160450997398,7.360761090059366e-13,2.9443044360237463e-09
Ifitm3,0.21236515045166016,3.812347650527954,3.599982500076294,1.0,0.9965307892454467,8.491069729187005e-13,3.396427891674802e-09
Lmna,-0.3036070466041565,0.7237438559532166,1.027350902557373,0.6933333333333334,0.8196010407632264,8.515246833474659e-13,3.4060987333898635e-09
mt-Co1,-0.2821929454803467,2.7313477993011475,3.013540744781494,0.9980952380952381,0.997398091934085,1.2984787563840047e-12,5.193915025536019e-09
H2-T23,0.24872875213623047,1.5735855102539062,1.3248567581176758,0.9428571428571428,0.9306157849089333,1.589907292557517e-12,6.359629170230068e-09
Cyba,0.14136910438537598,3.0742287635803223,2.9328596591949463,1.0,0.9956634865568084,1.7363247917746464e-12,6.945299167098586e-09
Zdhhc14,-0.21327507495880127,0.19261085987091064,0.4058859348297119,0.24761904761904763,0.4284475281873374,2.1635938863540066e-12,8.654375545416027e-09
Jarid2,-0.2465364933013916,0.8832353353500366,1.1297718286514282,0.8019047619047619,0.9002601908065915,2.3235096464041234e-12,9.294038585616493e-09
Sparc,-0.10031526535749435,0.09275943785905838,0.19307470321655273,0.13714285714285715,0.30095403295750217,2.9665972390651355e-12,1.1866388956260542e-08
Furin,-0.28741079568862915,0.6430267095565796,0.9304375052452087,0.5980952380952381,0.7649609713790113,3.4001736918909745e-12,1.3600694767563898e-08
Top2a,-0.1984589844942093,0.20266400277614594,0.4011229872703552,0.26476190476190475,0.48048568950563747,3.774617273488803e-12,1.5098469093955212e-08
