gene,lfc_a_minus_b,pval,frac_a,frac_b,mean_a,mean_b,padj
Pgk1,1.340103030204773,2.0508884999732542e-47,0.9965397923875432,0.8504983388704319,1.9644302129745483,1.2301195859909058,8.203553999893016e-44
Ldha,1.1863117218017578,6.700099691500299e-46,0.9965397923875432,0.9235880398671097,2.482881784439087,1.7618167400360107,1.3400199383000599e-42
Gapdh,1.1550898551940918,1.333110105622193e-41,0.9930795847750865,0.9651162790697675,3.3248515129089355,2.567401885986328,1.7774801408295905e-38
Aldoa,1.1973901987075806,2.041348948554097e-41,0.9653979238754326,0.8388704318936877,1.9162112474441528,1.2604644298553467,2.041348948554097e-38
Pgam1,1.179483413696289,7.102944062456129e-40,0.9550173010380623,0.8338870431893688,1.8095253705978394,1.1802018880844116,5.682355249964903e-37
Eno1,1.0477235317230225,6.478494369906546e-39,0.9896193771626297,0.8621262458471761,1.8651084899902344,1.291858196258545,4.318996246604364e-36
Bsg,1.1555588245391846,3.165929214323759e-35,0.9619377162629758,0.8122923588039868,1.7401002645492554,1.134255290031433,1.809102408185005e-32
Rpl5,1.0491743087768555,3.422589574553366e-34,0.9930795847750865,0.9634551495016611,3.0265703201293945,2.3498826026916504,1.7112947872766832e-31
Rps3a1,1.1030781269073486,4.899140805481167e-34,0.9965397923875432,0.9700996677740864,3.1511197090148926,2.4344992637634277,2.177395913547185e-31
Mif,1.060253381729126,7.410496030643847e-34,0.9792387543252595,0.9086378737541528,2.8194258213043213,2.147233009338379,2.8063585409366695e-31
Rack1,1.1637494564056396,7.717485987575841e-34,1.0,0.9568106312292359,3.29575514793396,2.5340254306793213,2.8063585409366695e-31
Prelid1,1.051885724067688,1.3029629655711044e-33,0.9550173010380623,0.8122923588039868,1.7342818975448608,1.1786657571792603,4.343209885237015e-31
Rps4x,1.2024672031402588,1.708393423975786e-33,0.9930795847750865,0.9385382059800664,3.035871744155884,2.2630155086517334,5.256595150694726e-31
Eef1a1,0.897547721862793,3.3432360159050704e-33,1.0,0.9850498338870431,3.390855312347412,2.797370433807373,9.552102902585917e-31
Slc16a3,1.103238821029663,8.39807580227891e-33,0.9446366782006921,0.7342192691029901,1.131042242050171,0.6815646290779114,2.141868617656089e-30
Rpl7,1.2190217971801758,8.567474470624357e-33,0.9896193771626297,0.9269102990033222,2.7595245838165283,1.9952988624572754,2.141868617656089e-30
Cd63,1.1602171659469604,4.202016932726309e-32,0.9757785467128027,0.8588039867109635,2.0904574394226074,1.4283394813537598,9.887098665238375e-30
Rps9,1.124049425125122,1.7160434236236628e-31,0.9930795847750865,0.9285714285714286,2.811260223388672,2.1006531715393066,3.8134298302748064e-29
