gene,lfc_a_minus_b,mean_a,mean_b,frac_a,frac_b,pval,padj
Malat1,-1.1049635410308838,2.0016493797302246,3.1066129207611084,0.7392638036809815,0.8846918489065606,7.244008507969662e-20,2.674487941142399e-16
Ly6c2,0.5734301209449768,0.7637885212898254,0.19035841524600983,0.4233128834355828,0.1272365805168986,1.8695703440668498e-17,6.902453710294809e-14
Ifi27l2a,0.6004804372787476,0.8970205187797546,0.29654011130332947,0.44785276073619634,0.18687872763419483,2.184364577398151e-15,8.064674019753974e-12
Jun,-0.6341511607170105,0.5311495661735535,1.165300726890564,0.2791411042944785,0.5149105367793241,1.0238079846790435e-14,3.7798990794350286e-11
Tenm3,-0.4770400822162628,0.17623582482337952,0.6532759070396423,0.09815950920245399,0.31610337972166996,5.124630541628625e-14,1.8920135959692883e-10
Plac8,0.3970608711242676,0.5791361331939697,0.18207524716854095,0.34355828220858897,0.11928429423459244,1.7966108024400008e-13,6.633087082608483e-10
Camk1d,-0.8054307699203491,1.4511417150497437,2.2565724849700928,0.5858895705521472,0.8151093439363817,9.051976804423795e-12,3.341989836193265e-08
Large1,-0.387398898601532,0.19348807632923126,0.580886960029602,0.0950920245398773,0.29025844930417494,1.269237527647774e-10,4.686024952075581e-07
Rbms1,-0.49120205640792847,0.48480504751205444,0.9760071039199829,0.294478527607362,0.47713717693836977,1.4213046088276535e-10,5.247456615791697e-07
Slc7a1,-0.3341893255710602,0.12861353158950806,0.46280285716056824,0.08588957055214724,0.2664015904572565,2.9365196796776613e-10,1.0841630657369925e-06
Zbtb20,-0.32987672090530396,0.12272211909294128,0.45259883999824524,0.07668711656441718,0.24652087475149106,3.2682090121344293e-09,1.2066227672800313e-05
Arl15,-0.22921395301818848,0.04874321445822716,0.27795717120170593,0.03374233128834356,0.1709741550695825,3.358988693200838e-09,1.2401386255297495e-05
Fndc3b,-0.3756216764450073,0.24325208365917206,0.6188737750053406,0.1441717791411043,0.3359840954274354,3.375898171905256e-09,1.2463816050674205e-05
Hspa5,-0.5311865210533142,0.8892157673835754,1.4204022884368896,0.40797546012269936,0.6182902584493042,3.5974146309816264e-09,1.3281654817584164e-05
Mbnl2,-0.36189424991607666,0.264423131942749,0.6263173818588257,0.17177914110429449,0.3359840954274354,3.758161291942362e-09,1.3875131489851202e-05
Edil3,-0.3056800961494446,0.045194111764431,0.3508742153644562,0.03067484662576687,0.18091451292246521,4.403032663266552e-09,1.625599659278011e-05
