gene,lfc_a_minus_b,mean_a,mean_b,frac_a,frac_b,pval,padj
Ly6e,0.8410168886184692,2.7332615852355957,1.8922446966171265,0.9434343434343434,0.8214285714285714,7.24559887146225e-45,2.8982395485849004e-41
Ly6c2,1.2548482418060303,2.180124521255493,0.9252762794494629,0.8343434343434344,0.4703647416413374,3.0832848530186624e-43,1.2333139412074649e-39
B2m,0.5319597721099854,3.934596538543701,3.402636766433716,1.0,0.973404255319149,2.67876685827526e-38,1.071506743310104e-34
Acod1,-0.7285192012786865,2.7208361625671387,3.449355363845825,0.9151515151515152,0.9559270516717325,1.4768939061229382e-30,5.907575624491752e-27
Npc2,0.8185347318649292,2.250927686691284,1.432392954826355,0.8727272727272727,0.6846504559270516,1.6505120546640213e-30,6.602048218656085e-27
Ctss,0.9494107961654663,2.260155200958252,1.3107444047927856,0.8585858585858586,0.6253799392097265,1.9346787782047644e-30,7.738715112819058e-27
Plac8,1.1062557697296143,2.4516942501068115,1.3454384803771973,0.8404040404040404,0.5797872340425532,2.694244042045131e-29,1.0776976168180523e-25
Txnip,0.7582407593727112,1.6213419437408447,0.8631011843681335,0.8303030303030303,0.5516717325227963,4.3240185543006193e-29,1.7296074217202476e-25
Capg,0.5904325842857361,1.257733702659607,0.6673011183738708,0.696969696969697,0.4331306990881459,2.366645298239168e-28,9.466581192956672e-25
Ifi27l2a,0.9189362525939941,2.8433806896209717,1.9244444370269775,0.896969696969697,0.7317629179331308,2.7440756000030744e-28,1.0976302400012297e-24
Ly6a,0.7176566123962402,1.070996880531311,0.3533402979373932,0.5575757575757576,0.22872340425531915,8.401221199375942e-28,3.360488479750377e-24
Irf7,0.6591871976852417,2.3545424938201904,1.6953552961349487,0.9131313131313131,0.78419452887538,2.713060687998986e-27,1.0852242751995945e-23
Ifi209,0.8440648913383484,1.7882355451583862,0.9441706538200378,0.7757575757575758,0.48936170212765956,3.293791141430068e-27,1.3175164565720274e-23
Fcgr1,0.728911817073822,1.216612458229065,0.4877006411552429,0.6,0.2993920972644377,2.6253856291963756e-26,1.0501542516785503e-22
Ifi207,0.7750087976455688,2.5884456634521484,1.8134368658065796,0.9151515151515152,0.7515197568389058,5.30618737997507e-26,2.122474951990028e-22
Pde4b,-0.7396938800811768,1.079581379890442,1.8192752599716187,0.6222222222222222,0.8039513677811551,3.269775088384483e-25,1.3079100353537932e-21
Npm1,-0.5472956895828247,0.6973789930343628,1.2446746826171875,0.498989898989899,0.743920972644377,3.7844669075354965e-25,1.5137867630141987e-21
Bst2,0.6296857595443726,1.7048152685165405,1.075129508972168,0.7878787878787878,0.6246200607902735,1.5871365353837489e-24,6.3485461415349956e-21
Spacdr,0.5014361143112183,0.990125834941864,0.48868972063064575,0.6747474747474748,0.3829787234042553,3.726367051667161e-24,1.4905468206668643e-20
Nlrp3,-0.7042044401168823,1.3447500467300415,2.048954486846924,0.7151515151515152,0.8609422492401215,4.240446341055391e-24,1.6961785364221563e-20
Lmnb1,-0.5749664306640625,2.0909500122070312,2.6659164428710938,0.8909090909090909,0.9498480243161094,4.977894062937149e-24,1.9911576251748595e-20
Marcks,0.576724648475647,1.9296422004699707,1.3529175519943237,0.896969696969697,0.7279635258358662,8.202081099319211e-24,3.280832439727684e-20
Ms4a6d,0.5541732311248779,0.881682276725769,0.3275090157985687,0.4707070707070707,0.2013677811550152,1.3753848984577786e-23,5.501539593831115e-20
Plaur,-0.6481903791427612,1.7475212812423706,2.395711660385132,0.8303030303030303,0.898176291793313,1.9236760410333477e-23,7.694704164133391e-20
