gene,lfc_a_minus_b,mean_a,mean_b,frac_a,frac_b,pval,padj
Ly6c2,0.8790231943130493,1.1502262353897095,0.27120301127433777,0.8591549295774648,0.5826580226904376,2.005999132648169e-14,8.023996530592676e-11
Hspe1,-0.6395375728607178,1.1334545612335205,1.7729921340942383,0.7464788732394366,0.960291734197731,2.443833635425097e-10,9.775334541700389e-07
Coq10b,-0.34019094705581665,0.17444680631160736,0.5146377682685852,0.36619718309859156,0.8176661264181524,2.0625804780271573e-08,8.25032191210863e-05
Rplp0,-0.6852540969848633,2.3521604537963867,3.03741455078125,0.9154929577464789,0.993517017828201,2.8721651889549583e-08,0.00011488660755819833
Psmb7,-0.3678858280181885,0.5410723686218262,0.9089581966400146,0.5774647887323944,0.8922204213938412,1.989669316072456e-07,0.0007958677264289824
Ssr4,-0.4362298548221588,0.4069831073284149,0.8432129621505737,0.49295774647887325,0.8363047001620746,2.0223301213808466e-07,0.0008089320485523386
Eif3i,-0.4681282043457031,0.5431921482086182,1.0113203525543213,0.5633802816901409,0.8695299837925445,2.602995278194906e-07,0.0010411981112779624
Cxcl1,-0.422929048538208,0.32349562644958496,0.746424674987793,0.30985915492957744,0.6296596434359806,3.564618863165617e-07,0.0014258475452662467
Tuba1b,-0.4371645450592041,0.6207135915756226,1.0578781366348267,0.6056338028169014,0.8946515397082658,3.985387889781364e-07,0.0015941551559125456
Rpl12,-0.5901341438293457,2.0094199180603027,2.5995540618896484,0.9436619718309859,0.9854132901134521,6.853883632894149e-07,0.0027415534531576597
H4c4,-0.21911852061748505,0.22041596472263336,0.4395344853401184,0.36619718309859156,0.6580226904376013,7.935476512741788e-07,0.0031741906050967153
Rpl23a,-0.7280213832855225,2.3986401557922363,3.126661539077759,0.9436619718309859,0.9894651539708266,8.274056334935481e-07,0.0033096225339741925
Tmem126a,-0.23175182938575745,0.1820162534713745,0.41376808285713196,0.36619718309859156,0.7220421393841167,8.472355917613817e-07,0.0033889423670455266
Id1,-0.19589823484420776,0.09433170408010483,0.2902299463748932,0.23943661971830985,0.553484602917342,9.738162114665283e-07,0.003895264845866113
Rpl10,-0.6143234968185425,1.6012762784957886,2.215599775314331,0.8591549295774648,0.9708265802269044,1.036124307055416e-06,0.004144497228221664
Plac8,0.39526230096817017,0.7305513024330139,0.33528900146484375,0.7464788732394366,0.5615883306320908,1.087810755338175e-06,0.0043512430213527
Lamtor2,-0.3118186295032501,0.396107941865921,0.7079265713691711,0.49295774647887325,0.8111831442463533,1.1038130159021485e-06,0.004415252063608594
Serf2,-0.526159405708313,1.1813342571258545,1.7074936628341675,0.7605633802816901,0.9497568881685575,1.1203647003536326e-06,0.004481458801414531
Rgcc,-0.17193032801151276,0.1440858095884323,0.31601613759994507,0.23943661971830985,0.5251215559157212,1.1502048995577465e-06,0.004600819598230986
