gene,lfc_a_minus_b,mean_a,mean_b,frac_a,frac_b,pval,padj
Rps3a1,0.8110754489898682,3.065650463104248,2.25457501411438,0.925984251968504,0.8956406869220608,1.206131519541784e-62,4.8245260781671355e-59
Eef1a1,0.7391355037689209,3.338254451751709,2.599118947982788,0.9543307086614173,0.9233817701453104,1.7352411492884207e-61,6.940964597153683e-58
Tpt1,0.7508730888366699,3.3315622806549072,2.5806891918182373,0.9543307086614173,0.9114927344782034,1.8307905786203433e-57,7.323162314481374e-54
Rps7,0.8318600654602051,2.9100117683410645,2.0781517028808594,0.9149606299212598,0.8441215323645971,3.341461060300752e-56,1.3365844241203008e-52
Rpl7,0.8216521739959717,2.6355223655700684,1.8138701915740967,0.8976377952755905,0.8348745046235139,1.3614209779667158e-55,5.445683911866863e-52
Rpl5,0.7399554252624512,2.8966803550720215,2.1567249298095703,0.9196850393700787,0.8824306472919419,1.3937799400293319e-55,5.5751197601173276e-52
Gapdh,0.7518737316131592,3.0621402263641357,2.3102664947509766,0.9102362204724409,0.8758256274768824,1.096427363500568e-53,4.385709454002271e-50
Ppia,0.7968428134918213,3.2638726234436035,2.4670298099517822,0.9275590551181102,0.8903566710700133,1.4182822270488169e-53,5.6731289081952675e-50
Rps4x,0.7860352993011475,2.868245840072632,2.0822105407714844,0.8976377952755905,0.8652575957727873,1.440424582635984e-53,5.761698330543936e-50
Rps9,0.8057184219360352,2.682478904724121,1.876760482788086,0.8913385826771654,0.8256274768824307,9.27256225825678e-53,3.709024903302712e-49
mt-Nd5,-1.1427826881408691,1.8447961807250977,2.987578868865967,0.8850393700787401,0.9722589167767504,1.3473496589669009e-52,5.3893986358676034e-49
Rps3,0.7950153350830078,2.834099769592285,2.0390844345092773,0.9181102362204724,0.8586525759577279,1.999442728854398e-52,7.997770915417593e-49
mt-Co1,-1.2656481266021729,3.979356050491333,5.245004177093506,0.9559055118110236,0.9894319682959049,3.011858717107758e-52,1.2047434868431032e-48
Eef1b2,0.7312753200531006,2.512362480163574,1.7810871601104736,0.8929133858267716,0.809775429326288,3.621551658191713e-52,1.448620663276685e-48
Rpl30,0.7567992210388184,2.8678340911865234,2.111034870147705,0.9181102362204724,0.857331571994716,8.22458410816198e-52,3.289833643264792e-48
Rps8,0.7219498157501221,3.965172529220581,3.243222713470459,0.9653543307086614,0.9445178335535006,8.644990618706155e-51,3.457996247482462e-47
Rpl24,0.6810173988342285,2.6590871810913086,1.97806978225708,0.8976377952755905,0.8335535006605019,8.84774902177096e-51,3.539099608708384e-47
Rpl15,0.8124403953552246,2.7946701049804688,1.9822297096252441,0.9181102362204724,0.8441215323645971,1.4776328927679848e-50,5.910531571071939e-47
Rplp0,0.7423214912414551,3.518906593322754,2.776585102081299,0.9464566929133859,0.9247027741083224,8.347651795583098e-50,3.339060718233239e-46
Rps15a,0.771401047706604,2.7592928409576416,1.9878917932510376,0.8929133858267716,0.8678996036988111,8.624098155142155e-50,3.4496392620568622e-46
Rpl10,0.781896710395813,2.622683525085449,1.8407868146896362,0.8834645669291339,0.808454425363276,1.2821010756662672e-49,5.128404302665069e-46
Rps27a,0.7155413627624512,3.562751531600952,2.847210168838501,0.937007874015748,0.9260237780713342,4.2439440412284214e-49,1.6975776164913685e-45
Rps10,0.8566787242889404,3.341820001602173,2.4851412773132324,0.9354330708661417,0.8797886393659181,4.338656731674854e-48,1.7354626926699414e-44
Rps6,0.6624059677124023,3.010226011276245,2.3478200435638428,0.9228346456692913,0.8916776750330251,1.121698852419179e-47,4.486795409676716e-44
mt-Co2,-1.22086501121521,3.3224213123321533,4.543286323547363,0.9433070866141732,0.9867899603698811,2.931012515165739e-47,1.1724050060662956e-43
Rpl3,0.6415590047836304,2.4969139099121094,1.855354905128479,0.8913385826771654,0.8322324966974901,3.827043921722315e-47,1.5308175686889261e-43
Taco1,-0.8047440052032471,0.27794983983039856,1.0826938152313232,0.5984251968503937,0.7701453104359313,1.8245899590307187e-46,7.298359836122875e-43
Rpl36a,0.7053054571151733,2.2826828956604004,1.577377438545227,0.8708661417322835,0.7780713342140027,3.057015148512436e-46,1.2228060594049743e-42
Cox4i1,0.6551203727722168,2.173158884048462,1.5180385112762451,0.8645669291338582,0.76221928665786,3.1706734390535704e-46,1.2682693756214282e-42
Rpl23,0.6369431018829346,3.558619499206543,2.9216763973236084,0.9543307086614173,0.9194187582562747,1.0699454962381222e-45,4.279781984952489e-42
