gene,lfc_a_minus_b,mean_a,mean_b,frac_a,frac_b,pval,padj
Ldha,0.8690872192382812,2.4159252643585205,1.5468380451202393,0.9719626168224299,0.7992073976221928,1.6705801242282928e-41,6.682320496913172e-38
Eno1,0.7136470079421997,1.8118700981140137,1.098223090171814,0.9532710280373832,0.7186261558784677,6.810890431436138e-36,2.724356172574455e-32
Pgk1,0.8280491828918457,1.901648759841919,1.0735995769500732,0.956386292834891,0.7186261558784677,5.301784262590761e-33,2.1207137050363045e-29
Gapdh,0.8768148422241211,3.1870813369750977,2.3102664947509766,0.9688473520249221,0.8758256274768824,5.482159245980095e-31,2.192863698392038e-27
Pgam1,0.6577000617980957,1.6738427877426147,1.016142725944519,0.881619937694704,0.7001321003963011,7.919811644839343e-31,3.1679246579357373e-27
Rack1,0.8526210784912109,3.130671977996826,2.2780508995056152,0.9657320872274143,0.8745046235138706,6.3859435429733574e-27,2.554377417189343e-23
Aldoa,0.6751080751419067,1.7840518951416016,1.1089438199996948,0.897196261682243,0.7199471598414795,6.623870196137332e-27,2.649548078454933e-23
Rpl10,0.80353844165802,2.6443252563476562,1.8407868146896362,0.9376947040498442,0.808454425363276,1.2928599700782272e-26,5.171439880312909e-23
Rpl30,0.7507522106170654,2.8617870807647705,2.111034870147705,0.9626168224299065,0.857331571994716,1.9414845960932644e-26,7.765938384373058e-23
Rps3a1,0.7607252597808838,3.0153002738952637,2.25457501411438,0.9657320872274143,0.8956406869220608,4.017135304352043e-26,1.6068541217408173e-22
Ppia,0.8288896083831787,3.295919418334961,2.4670298099517822,0.9781931464174455,0.8903566710700133,4.276584403585081e-26,1.7106337614340325e-22
Bsg,0.6689785122871399,1.620998501777649,0.952019989490509,0.8909657320872274,0.6710700132100397,9.67096999330257e-26,3.8683879973210283e-22
Slc25a5,0.6384579539299011,1.46155846118927,0.8231005072593689,0.881619937694704,0.6287978863936592,1.9936853788543294e-25,7.9747415154173175e-22
Mif,0.7511595487594604,2.6290102005004883,1.8778506517410278,0.9252336448598131,0.7952443857331571,2.2897833381550714e-25,9.159133352620286e-22
Eef1b2,0.7409131526947021,2.522000312805176,1.7810871601104736,0.956386292834891,0.809775429326288,3.4908022821962372e-25,1.396320912878495e-21
Rps6,0.6890649795532227,3.0368850231170654,2.3478200435638428,0.9719626168224299,0.8916776750330251,1.154749505779882e-24,4.618998023119528e-21
Prelid1,0.6050214767456055,1.587804913520813,0.9827834367752075,0.8722741433021807,0.6684280052840158,1.295220815862186e-24,5.180883263448744e-21
Rab11a,0.2164766788482666,0.5088451504707336,0.29236847162246704,0.7912772585669782,0.47291941875825627,1.76147863292941e-24,7.045914531717641e-21
Tpt1,0.6889896392822266,3.269678831100464,2.5806891918182373,0.9750778816199377,0.9114927344782034,2.6262375127941532e-24,1.0504950051176612e-20
Rps3,0.8001477718353271,2.8392322063446045,2.0390844345092773,0.9657320872274143,0.8586525759577279,2.7477214925266175e-24,1.099088597010647e-20
Btf3,0.7297804355621338,1.9518407583236694,1.2220603227615356,0.9003115264797508,0.7199471598414795,5.529705877775864e-24,2.2118823511103457e-20
