gene,lfc_rev_minus_norm,padj,frac_rev,frac_norm
Ptbp2,-0.7366292476654053,1.9083975195736468e-36,0.060810810810810814,0.9154929577464789
Arih1,-1.0872138738632202,9.319389368356868e-36,0.11486486486486487,0.971830985915493
Ttc14,-0.7223929166793823,2.604501579534061e-35,0.0472972972972973,0.8908450704225352
Uba6,-0.6155684590339661,6.370563745361403e-35,0.04054054054054054,0.8450704225352113
Ifi203,-0.9039407968521118,8.617985020134647e-35,0.08108108108108109,0.8732394366197183
Sesn1,-0.6876882910728455,8.715521242800233e-35,0.033783783783783786,0.8309859154929577
Krit1,-0.7580312490463257,1.0264333581177856e-34,0.08108108108108109,0.9295774647887324
Ppp2r2a,-0.7323198318481445,1.5627544923670792e-34,0.08108108108108109,0.9225352112676056
Naa35,-0.5967654585838318,2.3523759267974105e-34,0.0472972972972973,0.8661971830985915
Mctp1,-0.6356433033943176,2.5159270969117574e-34,0.02702702702702703,0.7676056338028169
Gm15398,-0.8594917058944702,4.560721041384323e-34,0.060810810810810814,0.8697183098591549
Mat2a,-0.8854695558547974,5.467829575207204e-34,0.08783783783783784,0.9471830985915493
mt-Co1,2.0338597297668457,7.331637830591199e-34,1.0,1.0
6820431F20Rik,-0.9614375829696655,9.893282528003162e-34,0.12837837837837837,0.9507042253521126
Zmym2,-0.5650408864021301,1.0716760237601706e-33,0.05405405405405406,0.852112676056338
Tmem167,-0.9469236135482788,1.0865330755388939e-33,0.10135135135135136,0.9366197183098591
Rapgef6,-0.9211205840110779,1.799959421328314e-33,0.10810810810810811,0.971830985915493
Cog4,-0.5642819404602051,1.8070510072333655e-33,0.06756756756756757,0.8732394366197183
Swt1,-0.6754506230354309,5.345156388286225e-33,0.060810810810810814,0.8802816901408451
Aldh2,-0.5534038543701172,5.746678826424248e-33,0.05405405405405406,0.7887323943661971
mt-Atp6,2.1073660850524902,5.985163311020243e-33,1.0,0.9964788732394366
Abcb1b,-0.7517328858375549,6.32464879803342e-33,0.060810810810810814,0.8661971830985915
Med13,-0.7422066926956177,7.63235470379707e-33,0.10135135135135136,0.926056338028169
Gm49504,-0.6901124119758606,8.041377848595156e-33,0.013513513513513514,0.7746478873239436
Rbbp8,-0.6685869693756104,1.0475574385138824e-32,0.08108108108108109,0.8661971830985915
Mtrex,-0.527090847492218,1.1833404199048402e-32,0.033783783783783786,0.7816901408450704
Nptn,-0.8269500732421875,1.1879614803713444e-32,0.10810810810810811,0.9330985915492958
Slc30a7,-0.5429927110671997,1.3635928512818512e-32,0.05405405405405406,0.8556338028169014
Qki,-0.9098838567733765,1.40255274764006e-32,0.10135135135135136,0.9471830985915493
Clcn3,-0.7056996822357178,1.954695651825342e-32,0.08783783783783784,0.9049295774647887
Ddx50,-0.70534747838974,2.3552837289641362e-32,0.08783783783783784,0.9225352112676056
Zup1,-0.5809869170188904,2.6630206353570016e-32,0.07432432432432433,0.8556338028169014
Mbd5,-0.7371045351028442,2.72416418290443e-32,0.0945945945945946,0.9014084507042254
Ecpas,-0.8405811190605164,3.855875428894691e-32,0.10810810810810811,0.9507042253521126
mt-Atp8,1.9903978109359741,3.9181070236470325e-32,0.9459459459459459,0.9788732394366197
Cmss1,1.7795708179473877,3.94364345359568e-32,0.9797297297297297,1.0
mt-Cytb,1.951554298400879,7.031555411972946e-32,0.9797297297297297,0.9964788732394366
mt-Nd2,1.8897335529327393,8.466679397872251e-32,0.9527027027027027,0.9964788732394366
