gene,lfc_a_minus_b,mean_a,mean_b,frac_a,frac_b,pval,padj
Pgk1,-1.5378588438034058,0.3637899160385132,1.901648759841919,0.3324324324324324,0.956386292834891,2.8141136234707887e-87,1.1256454493883154e-83
Ldha,-1.7247562408447266,0.6911689639091492,2.4159252643585205,0.44324324324324327,0.9719626168224299,5.656785661847495e-86,2.262714264738998e-82
Eno1,-1.4019618034362793,0.409908264875412,1.8118700981140137,0.35405405405405405,0.9532710280373832,1.2735800231863808e-85,5.0943200927455234e-82
Bnip3,-0.6879372596740723,0.10502364486455917,0.7929608821868896,0.17297297297297298,0.8504672897196262,2.9000883696742835e-69,1.1600353478697135e-65
Slc2a1,-0.4329763650894165,0.09302705526351929,0.5260034203529358,0.1891891891891892,0.8193146417445483,1.0436589187211684e-55,4.174635674884674e-52
Slc16a3,-0.7840288877487183,0.2531123459339142,1.03714120388031,0.2972972972972973,0.8598130841121495,2.796767197688689e-54,1.1187068790754756e-50
Hk2,-0.5210984349250793,0.15293557941913605,0.6740339994430542,0.24324324324324326,0.8317757009345794,1.2314927692860811e-52,4.9259710771443245e-49
Pgam1,-1.1119539737701416,0.5618888735771179,1.6738427877426147,0.3945945945945946,0.881619937694704,1.538216427160104e-52,6.152865708640416e-49
Higd1a,-0.931074857711792,0.4044231176376343,1.3354979753494263,0.35945945945945945,0.8691588785046729,5.472787908231187e-52,2.1891151632924748e-48
Gapdh,-1.4055249691009521,1.7815563678741455,3.1870813369750977,0.7351351351351352,0.9688473520249221,9.459591776658509e-52,3.7838367106634034e-48
Sap30,-0.453976571559906,0.13282346725463867,0.5868000388145447,0.22432432432432434,0.7850467289719626,1.7459079450895834e-51,6.983631780358334e-48
Ruvbl2,-0.4874332547187805,0.16641803085803986,0.6538512706756592,0.25405405405405407,0.8099688473520249,1.923818560608814e-49,7.695274242435256e-46
Tnfrsf12a,-0.809544026851654,0.25956326723098755,1.0691072940826416,0.2810810810810811,0.822429906542056,4.436174563526276e-49,1.7744698254105104e-45
Rps3,-1.369065523147583,1.4701666831970215,2.8392322063446045,0.6594594594594595,0.9657320872274143,1.1008363776142356e-48,4.403345510456942e-45
Hilpda,-0.4052564799785614,0.11785319447517395,0.5231096744537354,0.2,0.7725856697819314,6.901976527591194e-48,2.7607906110364776e-44
Fam162a,-0.868582010269165,0.4127025604248047,1.2812845706939697,0.37027027027027026,0.8691588785046729,8.578220706654587e-48,3.431288282661835e-44
Hmga1,-0.5454820990562439,0.17588192224502563,0.7213640213012695,0.21891891891891893,0.7850467289719626,1.2765874789230827e-47,5.106349915692331e-44
Eif4ebp1,-1.0566595792770386,0.717960000038147,1.7746195793151855,0.44324324324324327,0.8940809968847352,2.3068739483948247e-47,9.227495793579299e-44
Prdx6,-0.6512191891670227,0.2721712589263916,0.9233904480934143,0.3054054054054054,0.8473520249221184,5.953501062371757e-47,2.381400424948703e-43
Eif3i,-0.8889451026916504,0.402776837348938,1.2917219400405884,0.33783783783783783,0.8473520249221184,6.177465790773847e-47,2.4709863163095388e-43
Sdc4,-0.7313001751899719,0.32992154359817505,1.061221718788147,0.3162162162162162,0.8660436137071651,6.579757736186928e-47,2.631903094474771e-43
Vdac1,-0.966890275478363,0.6697803139686584,1.6366705894470215,0.43513513513513513,0.9127725856697819,2.3307733928862345e-46,9.323093571544938e-43
Nop16,-0.5773688554763794,0.2575666606426239,0.8349355459213257,0.2891891891891892,0.8317757009345794,4.353446411413056e-46,1.7413785645652226e-42
Mif,-1.3193295001983643,1.309680700302124,2.6290102005004883,0.5918918918918918,0.9252336448598131,7.316255009936908e-46,2.926502003974763e-42
Rps14,-1.2784746885299683,1.9291037321090698,3.207578420639038,0.7486486486486487,0.9781931464174455,8.206511693282277e-46,3.282604677312911e-42
Ghitm,-0.6747441291809082,0.3432927131652832,1.0180368423461914,0.34594594594594597,0.8753894080996885,1.1635497164234727e-45,4.654198865693891e-42
Rack1,-1.347582459449768,1.783089518547058,3.130671977996826,0.7324324324324324,0.9657320872274143,1.883189385162562e-45,7.532757540650248e-42
Rpl14,-1.1972112655639648,1.7432565689086914,2.9404678344726562,0.7216216216216216,0.9657320872274143,1.9914690032615516e-45,7.965876013046207e-42
Gpnmb,-0.3686750531196594,0.10883188992738724,0.47750693559646606,0.2,0.7601246105919003,2.2780271099407138e-45,9.112108439762855e-42
Tpi1,-1.1217800378799438,0.8303104639053345,1.9520905017852783,0.4918918918918919,0.9096573208722741,3.103304624322086e-45,1.2413218497288343e-41
Rps5,-1.290427803993225,1.5016387701034546,2.7920665740966797,0.6621621621621622,0.9501557632398754,6.416465691711046e-45,2.5665862766844183e-41
Rpl18,-1.3408676385879517,1.7306557893753052,3.071523427963257,0.6918918918918919,0.9532710280373832,8.131267539153432e-45,3.2525070156613727e-41
