gene,corr_v_hypoxia_residual
Pakap-1,0.341994872986524
Neat1,0.30872103430010617
Slc38a2,0.28696218925852157
Gm4316,0.28666389290209815
Slc2a1,0.28283134464811394
Chka,0.2820852737219942
Ier3,0.27740324100992414
Abl2,0.2746069422511312
Ppp1r15a,0.2735099369996029
Jun,0.26394489798949206
Rsbn1,0.2592087773686115
Traf1,0.2550299754815561
Taco1,0.25485816877834516
Clk1,0.25294547922412075
Ccn1,0.25038083343911277
Tra2a,0.24948100434538065
Plk2,0.2491947667964972
Ankrd11,0.24860626114558068
Nufip2,0.2479518887132322
Flnb,0.24676940893755636
Wsb1,0.243432139016315
Ep400,0.243098920444096
Dst,0.242791383133291
Gm47283,0.23994393901411254
Taf1d,0.2393195267574678
Gm49890,0.2384927923971172
Piezo1,0.23834239161524484
Errfi1,0.23828508039533988
Slc7a6os,0.23812552217878283
Arhgap10,0.23796245896169707
Gadd45g,0.23724566863686197
Jmjd1c,0.2371886189082327
Rere,0.236781768531248
Adamts1,0.23484324882887433
Ccnl1,0.23265496099104738
mt-Co1,0.2323658564251397
Hk2,0.2310074221432033
Brd2,0.23090275924063955
mt-Nd5,0.2306727749033138
Nktr,0.22950828771922702
Jund,0.2285729409611466
Spag9,0.22849157181977295
Vps37b,0.22845171032574257
Fnbp4,0.22646151748824378
Tiparp,0.2259387822009855
Tor1aip2,0.2259099297999645
Egr1,0.2245169231373511
Cxcl1,0.2237909901868128
Gpnmb,0.2235176951918045
Fosb,0.2226156963047667
Mapk8ip3,0.2218314726785796
Dpm1,0.22169438314185003
Ahnak,0.22151896914770106
Fnip1,0.22140278005603387
Gem,0.22112699689879536
Snhg7,0.22089305121926445
Arhgap22,0.2206881876720122
Nfkbiz,0.21969652884631918
Nfkb1,0.21893663781304593
Smg1,0.21827999041294752
mt-Co2,0.2164658150970036
Sox9,0.21626549456602304
ENSMUSG00000095041,0.21570064744818387
Pip5k1a,0.215561144347388
Btg1,0.21555072455526464
Eya1,0.21397042848199094
Hsph1,0.21392133252338766
mt-Co3,0.2122774196840427
Rbm39,0.21217899292946205
Taf15,0.2106758558481281
Sertad2,0.21055556824472393
Cdk12,0.20995484816428836
Ier5,0.2098868340809871
Ifrd1,0.2095894213598814
Clcn3,0.20934668004931556
Mbnl2,0.2092856194244855
Rnf213,0.20926189561332414
Lncpint,0.2092046702211367
Mapk6,0.20892075906594798
Arih1,0.20759326762730954
Ubr2,0.20723632116384363
Large1,0.2064494393217467
Gclc,0.20575241847471218
Tcim,0.2056915497024543
Nav2,0.2051680072240172
Dpep1,0.20463714864375626
Atf3,0.20416338990886765
mt-Nd2,0.2040103680027478
Lsg1,0.20326267567783282
Map1b,0.20283488671338168
Ctnnd1,0.20276175125902846
mt-Cytb,0.20251689753633037
Phactr4,0.20130548056852743
Malat1,0.20087958350593937
Ptprs,0.20058626939741311
Smg7,0.20028419041378898
Simc1,0.19958812294821998
Spcs1,-0.19930690644306925
Tiam2,0.19884312938758122
Klf6,0.19835303990317552
