gene,r_vres,pval,padj
Pakap-1,0.3818331525968309,4.568761043133304e-74,1.8275044172533216e-70
Slc38a2,0.35343984443997545,5.30888292759758e-63,1.0617765855195161e-59
Ppp1r15a,0.3405568676568545,2.4280881017837266e-58,3.2374508023783023e-55
Gm4316,0.3341213964777754,4.284954839703268e-56,4.284954839703268e-53
Neat1,0.3244044900615143,8.38931505598576e-53,6.711452044788607e-50
Abl2,0.3225878212408946,3.356684524062785e-52,2.2377896827085236e-49
Chka,0.3201510939176746,2.12393138470931e-51,1.2136750769767487e-48
Rbm39,0.3169471696150567,2.3408713748516194e-50,9.363485499406478e-48
Ankrd11,0.3107697423350589,2.2033324001116737e-48,6.779484308035919e-46
Ier3,0.3045830575837698,1.8747847485259283e-46,4.1661883300576187e-44
Clk1,0.3044645378353369,2.0392432011677037e-46,4.293143581405692e-44
Jun,0.3028178227497925,6.532669794636307e-46,1.3065339589272613e-43
mt-Co1,0.30152525317601947,1.6206297409114972e-45,3.0869137922123756e-43
mt-Nd5,0.3000443990260238,4.5634040449837746e-45,8.297098263606862e-43
Ccnl1,0.2969532178767924,3.8846367904414924e-44,5.976364292986912e-42
Rsbn1,0.29607490590040586,7.104504822650418e-44,1.0149292603786312e-41
Wsb1,0.29455061801031307,2.015438892376406e-43,2.6872518565018744e-41
Tra2a,0.2938289805107839,3.2945221911192693e-43,4.2509963756377664e-41
Gm49774,0.29353269030655305,4.029405947028793e-43,5.036757433785992e-41
Nufip2,0.2918231831013918,1.2816403520825398e-42,1.464731830951474e-40
Ccn1,0.2882449678672455,1.4075575697100032e-41,1.4816395470631613e-39
Lars2,0.28305966404767513,4.265517191430694e-40,3.3455036795534854e-38
Flnb,0.2824880450388819,6.185495272699241e-40,4.6682983190182954e-38
Gm47283,0.2799164665516498,3.256903935993554e-39,2.0678755149165423e-37
Camk1d,0.2793383417119448,4.7199732662045514e-39,2.949983291377845e-37
Taco1,0.2777050151469123,1.3399771291483857e-38,7.444317384157698e-37
Traf1,0.2768128771963662,2.3622187085981833e-38,1.2598499779190311e-36
Ep400,0.27655490632282376,2.781938470963899e-38,1.4451628420591682e-36
Gphn,0.27386258573121197,1.5173123223164304e-37,7.42458105420259e-36
Taf1d,0.27333011571815474,2.117376846117898e-37,1.0082746886275705e-35
Ahnak,0.2724327394393168,3.706544763513628e-37,1.6658628150623047e-35
Ier5,0.26905261555940846,2.9970123019616344e-36,1.2358813616336635e-34
Brd2,0.2679754696718704,5.797335154778536e-36,2.3189340619114145e-34
Dusp10,0.2664561193399657,1.4627572367233607e-35,5.680610628051886e-34
Srrm2,0.26643470634361066,1.4818984212658222e-35,5.699609312560855e-34
mt-Co2,0.266209192056157,1.6992240686697418e-35,6.473234547313302e-34
Nktr,0.2659287816631234,2.014050009494729e-35,7.600188715074449e-34
Hk2,0.2650916994023701,3.341256753056974e-35,1.2150024556570814e-33
Btg1,0.26482636362526263,3.9212928491306644e-35,1.4130785041912305e-33
Piezo1,0.2639671890390619,6.576494667690973e-35,2.327962714226893e-33
Tiparp,0.2623231803573293,1.7594781044850357e-34,5.864927014950119e-33
Vps37b,0.26188623615283285,2.2827884636775867e-34,7.484552339926515e-33
Plk2,0.26169783537032953,2.553630849046247e-34,8.304490566004056e-33
Cdk8,0.26130215974668314,3.2306636066569953e-34,1.0338123541302385e-32
Malat1,0.26116218451807793,3.5105960644948022e-34,1.114474941109461e-32
Adamts1,0.26109788571469666,3.6471309894354548e-34,1.1487026738379386e-32
Errfi1,0.2587037139507705,1.4985439023158276e-33,4.312356553426842e-32
Gm57325,0.25727202610445854,3.464293475547133e-33,9.426648913053423e-32
Sox9,0.2550003330821526,1.295460342862124e-32,3.3216931868259594e-31
Slc7a6os,0.25329187224325506,3.4629776102454187e-32,8.498104565019433e-31
Fosb,0.2522502367006697,6.283800508868383e-32,1.5051019182918282e-30
Jmjd1c,0.2521848288803003,6.522764317155614e-32,1.5438495425220387e-30
Fnbp4,0.25204423182680596,7.067378414062761e-32,1.662912568014767e-30
Nr4a2,0.24906085019970275,3.8294175187519237e-31,8.462801146413092e-30
Cmss1,0.24880966294175239,4.410375857712197e-31,9.69313375321362e-30
Jund,0.24854757508445974,5.1098344190018775e-31,1.116903698142487e-29
Rere,0.24728364960187188,1.0367187249383877e-30,2.2175801602960166e-29
Slc2a1,0.24650058599134106,1.6037750573376805e-30,3.3679264947565975e-29
Hook2,0.2464956489276629,1.6081849012462754e-30,3.3679264947565975e-29
Atp13a3,0.24536927590011737,3.0040767645890124e-30,6.130768907324516e-29
Dst,0.2450769074683889,3.5312191742901245e-30,7.062438348580249e-29
mt-Nd2,0.24453693512374292,4.757258646817828e-30,9.420314152114512e-29
Gm20186,0.2437822265899013,7.20658717548953e-30,1.4061633513150302e-28
mt-Nd4,0.24341559064534712,8.813144511072745e-30,1.7112901963248047e-28
mt-Co3,0.24316054867977657,1.0135459232203808e-29,1.9491267754238092e-28
mt-Cytb,0.24114093120144117,3.04873041228482e-29,5.752321532612868e-28
Spag9,0.2409963374071962,3.297550101357244e-29,6.134976932757663e-28
Pip5k1a,0.2409119056600218,3.452046254042575e-29,6.363218901460968e-28
Gadd45g,0.2408529579459576,3.5641443467752917e-29,6.539714397752829e-28
Tcim,0.24050985051259424,4.292022804211101e-29,7.839311057919819e-28
Plekhm2,0.24004434998365148,5.520200295811807e-29,9.946306839300552e-28
Gm56830,0.23922352567306493,8.592152272462595e-29,1.5207349154801053e-27
Smg1,0.23849472383940973,1.270860313204835e-28,2.172410791803137e-27
Il31ra,0.23759324177061275,2.0586361181520146e-28,3.4598926355496044e-27
Ccnl2,0.2373042344459733,2.401885474832418e-28,4.00314245805403e-27
Golgb1,0.23643250832662188,3.819583997423643e-28,6.236055505997784e-27
Cxcl1,0.23638236929944878,3.9226430519883345e-28,6.3782813853468855e-27
Arhgap22,0.2362598520533665,4.186214953298992e-28,6.779295470929542e-27
Gpnmb,0.23564251728267377,5.8060990931693775e-28,9.252747558835661e-27
Egr1,0.2356263808945293,5.855881877152656e-28,9.295050598655009e-27
Gem,0.2336449503644098,1.6625243014990833e-27,2.5094706437722012e-26
mt-Nd6,0.2336027861193444,1.699674379167503e-27,2.5559013220563954e-26
Zfand5,0.2335441030499494,1.7527517866009578e-27,2.616047442687997e-26
Ubr2,0.23285455420330525,2.5140109773770766e-27,3.697074966730995e-26
Fnip1,0.23230622307063098,3.3463407795070825e-27,4.8851690211782225e-26
Klf6,0.23229249811618705,3.370349167318955e-27,4.9023260615548434e-26
Hsph1,0.23190208878019336,4.129574967351316e-27,5.878398530037461e-26
Snhg7,0.23157211366910507,4.90174913974333e-27,6.928267335326261e-26
Bdp1,0.23120061981710843,5.94326096113882e-27,8.312253092501846e-26
Arhgap10,0.2308563232276276,7.102991291648613e-27,9.831129815430606e-26
Ythdc1,0.23068091897350618,7.777375043638024e-27,1.0690549888162233e-25
mt-Atp6,0.2305380397698717,8.373291072728877e-27,1.1470261743464214e-25
Simc1,0.2304795988122662,8.629874917599782e-27,1.1781399204914379e-25
Tor1aip2,0.23025667490274665,9.682175318698774e-27,1.3128373313489862e-25
mt-Nd4l,0.23013879171000545,1.0289045474918394e-26,1.3812724820746724e-25
mt-Atp8,0.22981767935120162,1.2140012801015391e-26,1.6240819800689486e-25
Tex14,0.2285951174084349,2.273761760049981e-26,2.9819826361311225e-25
mt-Nd3,0.22798455043664148,3.1063750349724506e-26,4.0082258515773555e-25
Junb,0.22755714837614424,3.8625648488043417e-26,4.936185110293089e-25
Atf3,0.22749482784625236,3.987095508118557e-26,5.079102558112812e-25
Kdm3a,0.22719213601250504,4.6508451505879937e-26,5.850119686274206e-25
Mbnl2,0.22671097009563315,5.937974826262258e-26,7.4224685328278225e-25
Gm49890,0.2265784357019151,6.350701069752478e-26,7.913646192837977e-25
Mapk8ip3,0.22384996276955857,2.5089154191188564e-25,2.8921215205981058e-24
Ifrd1,0.223624749321427,2.8079181907247504e-25,3.2182443446702007e-24
Coq10b,0.22346688280630908,3.0382855605755374e-25,3.46243368726557e-24
Slc25a37,0.22327515357203614,3.34335758118593e-25,3.788507174148362e-24
Nfkbiz,0.22248830113122814,4.946689700657586e-25,5.511631978448564e-24
Homer1,0.22245748860728665,5.023005180288408e-25,5.5811168669871195e-24
Zfand2a,0.22232222185736772,5.372057734103983e-25,5.948191881589353e-24
Srek1,0.22203539246300338,6.1936413572876065e-25,6.78755217236998e-24
Rsrp1,0.22176041106555566,7.097692124573334e-25,7.75704057330419e-24
Cdk12,0.2210724953336735,9.972315446811013e-25,1.0751822584162817e-23
Gclc,0.22079971777815838,1.140819673647088e-24,1.2201279932054418e-23
Sertad2,0.21908390704181419,2.6479052916007552e-24,2.7510704328319535e-23
Nav2,0.21859911023350254,3.354797483082601e-24,3.4496632216787674e-23
ENSMUSG00000095041,0.21827364395393234,3.9311379254647275e-24,4.0083606989611993e-23
Eya1,0.21720397062681243,6.607321482175311e-24,6.574449235995335e-23
Dpm1,0.2158138650206341,1.2921082582297563e-23,1.2544740371162682e-22
Ndrg1,0.21561894875232349,1.418989285245487e-23,1.374323762949624e-22
Bhlhe40,0.21548848583825306,1.5107248908505686e-23,1.4561203767234397e-22
Rlim,0.21513859713596561,1.786743875233816e-23,1.7098027514199198e-22
Mapk6,0.21465977841729447,2.2469156376341478e-23,2.139919654889665e-22
Cobll1,0.21382258643402974,3.3498621609035935e-23,3.145410479721684e-22
Aff4,0.21365262356974465,3.632025536185634e-23,3.3902550675176754e-22
Clcn3,0.21365029595390161,3.636048559912707e-23,3.3902550675176754e-22
Ctnnd1,0.21351298914803596,3.881335191320403e-23,3.6105443640189795e-22
Hes1,0.21345505506547863,3.989676221984289e-23,3.7027157512615215e-22
Plpbp,0.2130479475812237,4.8401469752277033e-23,4.450709862278348e-22
Pank3,0.2130002952723179,4.950742138817021e-23,4.541965264969744e-22
Rab5a,0.21190468211902308,8.310170515101261e-23,7.469816193349449e-22
Ythdf3,0.21172778298132977,9.03258696331919e-23,8.082851868742004e-22
Cbx4,0.2115716496131479,9.721599077185574e-23,8.679999176058548e-22
Btg2,0.21143643200762968,1.0360150340553131e-22,9.229532597374727e-22
Hspa1b,0.21097436783825288,1.2871652453574686e-22,1.1441468847621944e-21
Lsg1,0.2103707786085805,1.707822044534125e-22,1.5013820171728571e-21
Sqstm1,0.2100727393762583,1.9631051130537183e-22,1.7107669830533492e-21
Dpep1,0.20981019161199715,2.2190326045014087e-22,1.9129591418115592e-21
Larp1,0.2092846185862169,2.834565453972108e-22,2.4383358743846092e-21
Map1b,0.2091040710654231,3.082798437065611e-22,2.6348704590304366e-21
Taf15,0.20845629590159395,4.1636630167394104e-22,3.5136396765733424e-21
Fosl1,0.20837901323022393,4.315384907542749e-22,3.634008343193894e-21
Tut7,0.20828513716652985,4.507052939224735e-22,3.787439444726668e-21
Ndel1,0.20814942091600355,4.799117357159873e-22,4.0244170709936034e-21
Furin,0.20809008440929622,4.932618764777972e-22,4.119097089584945e-21
Huwe1,0.2080813007455783,4.95269074093249e-22,4.127242284110408e-21
Ahctf1,0.20796000918134935,5.2382597835329525e-22,4.347103554799131e-21
Topors,0.20785572414793604,5.496764629759069e-22,4.552186028785979e-21
Zbtb11,0.20682064607623923,8.854028092852876e-22,7.183795612862375e-21
Nfkb1,0.20667393571047085,9.471007508595661e-22,7.653339400885383e-21
Serpine1,0.20651328718161935,1.0195427029225366e-21,8.205575073823232e-21
Ppp1r10,0.2063393876588179,1.1041420834779182e-21,8.85083834451237e-21
Ptprs,0.2062595885478748,1.1452512501661021e-21,9.162010001328817e-21
Gadd45b,0.20587149863613496,1.3677814836034469e-21,1.0920411046734107e-20
Ptgs2,0.2056933655764327,1.4837509028749813e-21,1.1822716357569571e-20
Plekho1,0.20523516202449485,1.828628573282722e-21,1.4484186719071062e-20
Hexim1,0.2039644658327277,3.256160921040144e-21,2.5488539499335767e-20
Rnf213,0.2039431001664342,3.2877968742758886e-21,2.568591308028038e-20
Gmeb2,0.20323260189527503,4.531860774238168e-21,3.499506389373103e-20
Smurf1,0.202930209943906,5.19322098353551e-21,3.987117837647225e-20
Cdk11b,0.2023986244355187,6.594919652458891e-21,5.005631614769557e-20
Fam13b,0.20203204358819024,7.773246397024322e-21,5.877691037447502e-20
Arih1,0.20185255271453484,8.423813539465334e-21,6.321811286653159e-20
Aars,0.2015364589890369,9.702878632248795e-21,7.22747011713132e-20
Lpin2,0.20141195933462075,1.0257768913606217e-20,7.626593987811315e-20
Tex10,0.20119666179300663,1.1292293177334284e-20,8.333795702829731e-20
Gdnf,0.20051579264296815,1.5291043281159622e-20,1.1202229510007048e-19
Clk4,0.20045137521530765,1.5735064924028057e-20,1.1506446013914484e-19
Usp36,0.2003291529116763,1.6612830164033406e-20,1.2104065693284813e-19
Prpf4b,0.2001627614289082,1.7886025402242503e-20,1.2914097763351986e-19
Khsrp,0.1997341583549841,2.1626806990160146e-20,1.5530920639253247e-19
Herc4,0.19864587757002997,3.49602366467948e-20,2.449053355292105e-19
Rbm27,0.1982559903742077,4.14960834644802e-20,2.8967597531923353e-19
Asxl1,0.1973750160984559,6.104110554160842e-20,4.2097314166626496e-19
Kdm6b,0.1971117170346822,6.848014756611569e-20,4.706539351623072e-19
Spty2d1,0.19707342398972744,6.963413725391087e-20,4.76946145574732e-19
Fam107b,0.19625658622354708,9.937537020613379e-20,6.7833017205552075e-19
Gcn1,0.19621295101153552,1.0127696997829784e-19,6.901326744688098e-19
Phlda1,0.19541375510950976,1.4319895247773916e-19,9.610667951526118e-19
Mbtd1,0.19534069593747355,1.4779478212317496e-19,9.90249796470184e-19
Prpf39,0.1949029517481686,1.785445198388054e-19,1.1942777246742837e-18
Neo1,0.19484349354063563,1.8318139239996963e-19,1.2212092826664641e-18
Golga4,0.19482347948227163,1.8476878935324436e-19,1.2297423584242553e-18
Igf2bp2,0.1944069704854312,2.210649774812437e-19,1.4633251327519682e-18
mt-Nd1,0.19439906810840601,2.2181763348711856e-19,1.464142795294512e-18
Cenpe,0.19402255857087536,2.60767085064773e-19,1.7099480987853968e-18
Azin1,0.19364345409219355,3.0679522608051486e-19,2.000881736460566e-18
Pcdh17,0.1935829630398332,3.1484704058613363e-19,2.0477856298285116e-18
Mat2a,0.1930377117491301,3.975084158329615e-19,2.564570424728784e-18
Mir142hg,0.19291508214031858,4.188666227982139e-19,2.6980136734184472e-18
Fos,0.19231150459726293,5.416607192662906e-19,3.4610908579315696e-18
Sgms2,0.1917155199719718,6.9761055761106e-19,4.4433793478411465e-18
Polr2a,0.19120708933473662,8.651118126050631e-19,5.501505962512325e-18
Smad7,0.19113374759570972,8.923439986604868e-19,5.665676181971345e-18
Nfkbia,0.1909432955525663,9.670740391320184e-19,6.120721766658344e-18
Luzp1,0.19062737663313464,1.1048824723598395e-18,6.959889589668279e-18
Zfp52,0.19015671351934593,1.3468681970838441e-18,8.417926231774026e-18
Mki67,0.18961125245291,1.6932588554546997e-18,1.0506642392012775e-17
Smg7,0.18947382067319116,1.7935768566559623e-18,1.108857407515278e-17
Large1,0.18935523460189382,1.8848361671673526e-18,1.159899179795294e-17
Hbegf,0.18913102011493504,2.0700794824522536e-18,1.2719382380659007e-17
Uspl1,0.18854824869177184,2.639802259142881e-18,1.6071855459012973e-17
Taf13,0.1879763160171749,3.3485737881372557e-18,1.9991485302311975e-17
Rsrc2,0.18776242525497322,3.659342791752411e-18,2.181426403429157e-17
Pawr,0.1876327301695091,3.8614624934361384e-18,2.2916691355704085e-17
Nsd3,0.18679367237136615,5.462574142514625e-18,3.222757606203319e-17
Slc16a1,0.1865061924083603,6.1496344475667854e-18,3.617432027980462e-17
Paxbp1,0.18647098765290612,6.239422581246732e-18,3.6648590785590204e-17
Flnc,0.18641353184455717,6.388746068334968e-18,3.747065142718456e-17
Prrc2a,0.18633953326014924,6.586266247143776e-18,3.857256952939254e-17
Sbno2,0.1863243417212399,6.627555201699318e-18,3.875763275847554e-17
Prpf38b,0.18628255420426196,6.742450721463266e-18,3.937197501584389e-17
Hipk1,0.18609733476866214,7.275822603815482e-18,4.236286814448606e-17
Rfx3,0.18553454428941507,9.16510000473458e-18,5.2977456674766366e-17
Phactr4,0.18532160531598776,9.99970596188592e-18,5.763519286389579e-17
Trrap,0.1848945192901271,1.1905978533336687e-17,6.842516398469361e-17
Tiam2,0.1848366533811706,1.2190406573964138e-17,6.995929167267797e-17
Rc3h1,0.18445376052547544,1.4248771004820665e-17,8.153803150111969e-17
Fam133b,0.18433479575398387,1.49554784218059e-17,8.545987669603372e-17
Alkbh1,0.18428586873723157,1.5256058893031996e-17,8.705311779190868e-17
Sptan1,0.18397950430997567,1.7278318527265593e-17,9.817226435946359e-17
Zc3h18,0.18337078188398187,2.2112316124904548e-17,1.254599496448485e-16
Pcf11,0.1826606823660735,2.945377794854025e-17,1.6593677717487463e-16
Ankrd17,0.18209246437839582,3.701757960247836e-17,2.0767225583438069e-16
Sirt1,0.18190073138469703,3.997889988430614e-17,2.233458094095315e-16
Gm41609,0.18151291911444775,4.6700553155172844e-17,2.6017021256363697e-16
Clk2,0.18027987738008322,7.636826229745077e-17,4.2250767522794344e-16
Lncpint,0.18021847718235082,7.825448480603207e-17,4.317488816884528e-16
Lncenc1,0.17917201462668564,1.1844831702923916e-16,6.472585630013069e-16
Kdm5a,0.17894197008994958,1.2970499544838554e-16,7.078035222285705e-16
Vegfa,0.17879352265605827,1.3752178192743624e-16,7.474009887360664e-16
Tsc22d2,0.17744896368319807,2.331139873722909e-16,1.2505010632202441e-15
Npepps,0.17744781777770868,2.3321844829057555e-16,1.2505010632202441e-15
Irf1,0.17743699996283202,2.3420687706460344e-16,1.252443192858842e-15
Gm14636,0.17728878183651942,2.481725254616547e-16,1.3235868024621584e-15
Runx2,0.17685505736286863,2.9392450169957156e-16,1.5655099957367327e-15
Usp24,0.1764422211990996,3.451482800769487e-16,1.8286001593480725e-15
Zfp655,0.17641707370565787,3.4853806782797404e-16,1.8441167609945716e-15
Zswim6,0.17638911885956704,3.523447679943936e-16,1.861795339468394e-15
Gsk3b,0.17604993630800847,4.0192586605251815e-16,2.112619532470529e-15
Fnip2,0.1759239952724696,4.220341695812857e-16,2.209602982100972e-15
Gls,0.17589479683851866,4.2683577121219307e-16,2.2318210259461076e-15
Nup153,0.17586678173275067,4.3149333453045227e-16,2.2502911839919284e-15
Trmt10a,0.17577290018263764,4.474691811808392e-16,2.3305686519835373e-15
Casc3,0.1753621939382134,5.244852689941899e-16,2.721064949386199e-15
Rlf,0.17423830856318653,8.083788564887028e-16,4.145532597377963e-15
Mdn1,0.17409815471535844,8.530158590138394e-16,4.357679994962143e-15
Rapgef6,0.17377523415359805,9.65305063227066e-16,4.881441533385922e-15
Atp6v1b2,0.1736108306010804,1.027941200581088e-15,5.184487497850334e-15
Mid1,0.17348455295925963,1.078752938427028e-15,5.420869037321749e-15
Pkp4,0.17333239984460314,1.143268951985004e-15,5.730671438521323e-15
Med13,0.1732842963406154,1.1644451479901732e-15,5.82951263073929e-15
Lhfpl2,0.17296728245245674,1.3139846584650666e-15,6.5617211408992086e-15
Ivns1abp,0.17279283612929686,1.4041770315771566e-15,6.994655200882474e-15
Nfe2l1,0.17269890574321312,1.4552370717729675e-15,7.23099166098369e-15
Khdc4,0.17255416048182592,1.537518265236748e-15,7.60206806050308e-15
Ncoa3,0.17243924779248593,1.606086731884378e-15,7.921512857629484e-15
Wdr26,0.172016868990943,1.884976485691861e-15,9.240080812215005e-15
Ankhd1,0.17191260283532833,1.9608500689318826e-15,9.600245135529413e-15
Xpo1,0.1715181291945992,2.276082143618989e-15,1.1102839724970678e-14
Nt5dc3,0.17128841412060064,2.482101967907005e-15,1.207835507497326e-14
Atg16l1,0.17120741363058398,2.5590374580254065e-15,1.2437606114339764e-14
Nrp2,0.17092167137264158,2.8496487955967404e-15,1.3799752036788089e-14
Ier2,0.17070115031606714,3.0959103159865473e-15,1.492004971559782e-14
Tent4b,0.17040711855820984,3.457089127048096e-15,1.654109630166553e-14
Brd4,0.17020802311309297,3.724873044697596e-15,1.7758631917509397e-14
Ash1l,0.17019953946780314,3.736725899411728e-15,1.779393285434156e-14
Cspp1,0.1695593733744833,4.746819580648903e-15,2.2496775263738874e-14
Hivep2,0.16943365821159528,4.9746374698525205e-15,2.352074453830979e-14
Rhob,0.16911993156046312,5.591130102115119e-15,2.628028250112864e-14
Abhd17b,0.16910026688749064,5.632182156758448e-15,2.641117072336904e-14
Crebrf,0.16887614323469033,6.121531284327606e-15,2.864377575323265e-14
Plec,0.16887567020758198,6.122607067253479e-15,2.864377575323265e-14
Sik3,0.16830980109717542,7.552187385010372e-15,3.524941603272052e-14
Amd1,0.16820670401289622,7.845909097028616e-15,3.655611779451462e-14
G3bp1,0.16818952464852746,7.895932937065004e-15,3.669268914794297e-14
Trmt13,0.16818878239093443,7.898101339094725e-15,3.669268914794297e-14
Scaf1,0.16769751068726063,9.46959953286293e-15,4.368904052070556e-14
Mtrex,0.16767453628073703,9.550175053382854e-15,4.401002328747859e-14
Lcor,0.16764880323427303,9.641226307208985e-15,4.437848702973066e-14
Birc6,0.1674229135935577,1.0478011309401119e-14,4.811945492262282e-14
Dusp1,0.1673173239424735,1.0893264160832153e-14,4.9911863279872404e-14
Otud7b,0.1671752278317184,1.1477723248435216e-14,5.2469591992846704e-14
Ubn2,0.16716641574634183,1.1514966931739547e-14,5.2579757679176014e-14
Ogt,0.16702959902058662,1.2108691867864612e-14,5.522778503016927e-14
Creb5,0.166934485720156,1.2539075540487086e-14,5.712562888604595e-14
Tns3,0.1668933000728599,1.2730072947030459e-14,5.79297972561113e-14
Camk2d,0.16687830123408226,1.280033787415099e-14,5.81833539734136e-14
Cabin1,0.1667269448128546,1.3531082787277945e-14,6.143510913633573e-14
Larp4b,0.16668035129691613,1.3764181594176437e-14,6.242259226383871e-14
Nfat5,0.16658051279684247,1.4277029467414196e-14,6.467510517514925e-14
Usp9x,0.16611516085028802,1.6926271630493563e-14,7.641657620990322e-14
Slc38a1,0.16584366394250444,1.8689256485552746e-14,8.399665836203482e-14
Spaca6,0.1653490495139882,2.2376916810284046e-14,9.989695004591092e-14
Syne1,0.16530555811675246,2.273346548537713e-14,1.0137554285563937e-13
