type,obs,exp,enrichment,n_on_iface
Hypoxic_Tumor,0.07662908465507356,0.06953604072659957,1.10200528897471,401
B,0.004968469329256641,0.004512322110378341,1.1010892413529525,26
cDC,0.007834893942289319,0.007173435149832234,1.0922094894065577,41
Neutrophil,0.1482896999808905,0.1423116973273169,1.0420064040120622,776
CAF,0.04643607873112937,0.04477611940298507,1.0370724249952228,243
Stromal,0.13472195681253582,0.13108874233483744,1.0277156864349046,705
Resident_Macrophage,0.0879036881330021,0.08608122179798681,1.0211714738353994,460
Tumor,0.16663481750429965,0.16406340391067917,1.0156732917416516,872
NK,0.02293139690426142,0.022908712252690037,1.000990219411775,120
Spp1_TAM,0.0550353525702274,0.05738748119865787,0.959013210210636,288
Monocyte,0.07873112937129753,0.0824945042230707,0.9543802961516473,412
CD8_exhausted,0.0038218994840435697,0.004049519842647229,0.9437907783025308,20
C1qc_TAM,0.12230078348939423,0.13201434687029967,0.9264203958797846,640
Il1b_TAM,0.039365564685648766,0.04628022677311119,0.8505914389451558,206
mDC,0.0028664246130326774,0.003933819275714451,0.7286619979541596,15
