type,obs,exp,enrichment,n_on_iface
Hypoxic_Tumor,0.07628652702353246,0.06953604072659957,1.0970789568459085,295
Tumor,0.17895009050943883,0.16406340391067917,1.0907373993463185,692
CD8_exhausted,0.004396172743728989,0.004049519842647229,1.0856034578299902,17
cDC,0.007757951900698216,0.007173435149832234,1.081483520608624,30
mDC,0.004137574347039048,0.003933819275714451,1.0517957376899556,16
Neutrophil,0.14636669252650633,0.1423116973273169,1.0284937589484506,566
CAF,0.04551331781742953,0.04477611940298507,1.016464097922593,176
NK,0.023273855702094646,0.022908712252690037,1.0159390648141617,90
Stromal,0.13059219032841995,0.13108874233483744,0.9962120926818478,505
Spp1_TAM,0.05611585208171709,0.05738748119865787,0.9778413498836307,217
Il1b_TAM,0.04499612102404965,0.04628022677311119,0.9722536850271528,174
Resident_Macrophage,0.08326868373416085,0.08608122179798681,0.9673269267666025,322
C1qc_TAM,0.12179984484096198,0.13201434687029967,0.9226258185455165,471
Monocyte,0.07163175588311352,0.0824945042230707,0.8683215513292428,277
B,0.0036203775536591673,0.004512322110378341,0.8023313640070816,14
