type,obs,exp,enrichment,n_on_iface
Neutrophil,0.1577783239125092,0.1423116973273169,1.108681344370583,642
Hypoxic_Tumor,0.07667731629392971,0.06953604072659957,1.1026989096978943,312
cDC,0.00786434013271074,0.007173435149832234,1.0963143833390148,32
Tumor,0.17252396166134185,0.16406340391067917,1.0515688297877133,702
CAF,0.04644875890882281,0.04477611940298507,1.037355615630376,189
Stromal,0.13344802162693536,0.13108874233483744,1.0179975736289517,543
Spp1_TAM,0.05726222659130007,0.05738748119865787,0.9978173879609002,233
B,0.004423691324649791,0.004512322110378341,0.9803580543320036,18
Resident_Macrophage,0.08306709265175719,0.08608122179798681,0.9649850561681953,338
Il1b_TAM,0.04374539198820349,0.04628022677311119,0.945228557385107,178
NK,0.021381174735807324,0.022908712252690037,0.9333206729372864,87
C1qc_TAM,0.1182108626198083,0.13201434687029967,0.89543951413059,481
CD8_exhausted,0.0034406488080609486,0.004049519842647229,0.8496436470877367,14
Monocyte,0.06930449741951339,0.0824945042230707,0.8401104785369624,282
mDC,0.003194888178913738,0.003933819275714451,0.8121593685397481,13
