sample,field,response,spearman_r,p
E14S,Spp1_density,hypoxia_score,0.010704890513478223,0.8894802958121463
E14S,Spp1_density,v_hypoxia,0.008267058222281957,0.9145393007711026
E14S,C1qc_density,hypoxia_score,-0.022999010300402693,0.7652569523919628
E14S,C1qc_density,v_hypoxia,-0.15957032733130935,0.037094262083041986
E14S,Neutrophil_density,hypoxia_score,-0.07080411925823664,0.3574428822924859
E14S,Neutrophil_density,v_hypoxia,-0.04648540128263934,0.5460142176486739
E14S,CAF_density,hypoxia_score,-0.00804589247452641,0.9168172606166852
E14S,CAF_density,v_hypoxia,0.03486553405628111,0.650750627984078
E14S,CD8_density,hypoxia_score,0.04209022473092228,0.5846491489479342
E14S,CD8_density,v_hypoxia,-0.010652103758184457,0.890021835818303
E14S,hypoxic_core_density,hypoxia_score,0.11769966324915927,0.12523448416630037
E14S,hypoxic_core_density,v_hypoxia,-0.045431971534468395,0.555158873588937
E14S,exit_density,hypoxia_score,0.038374491219988364,0.618262326567856
E14S,exit_density,v_hypoxia,0.06489237289426379,0.3990924938082445
E14S,enter_density,hypoxia_score,0.11219722918335683,0.1440085392194717
E14S,enter_density,v_hypoxia,-0.11211591187814134,0.14430120196267013
