gate,n_cd8,target,local_frac,enrichment
E14S,166,persist,0.019879518072289156,0.9824538972215392
E14S,166,enter,0.03855421686746988,0.920738575604192
E14S,166,exit,0.03132530120481928,0.8841182913472071
E14S,166,front,0.12008032128514057,0.7953679048799135
E14S,166,normoxic,0.018674698795180723,1.0566039860376084
E14S,166,deep,0.010843373493975903,0.7814974182444062
E15S,25,persist,0.024,1.1860897959183674
E15S,25,enter,0.04933333333333333,1.1781617357001972
E15S,25,exit,0.03333333333333333,0.9407925407925407
E15S,25,front,0.11733333333333333,0.7771728665207877
E15S,25,normoxic,0.02,1.131588785046729
E15S,25,deep,0.010666666666666666,0.7687619047619048
ALL,191,persist,0.020418848167539267,1.0091078106635325
ALL,191,enter,0.039965095986038396,0.9544327065068106
ALL,191,exit,0.031588132635253056,0.891536386824345
ALL,191,front,0.11972076788830716,0.7929863553564677
ALL,191,normoxic,0.018848167539267015,1.066418750305818
ALL,191,deep,0.010820244328097731,0.7798304662179008
