gate,n_neu,target,local_frac,enrichment
E14S,428,persist,0.018613707165109034,2.618892192957613
E14S,428,enter,0.044626168224299066,2.622775937536969
E14S,428,exit,0.0381619937694704,3.5437227414330215
E14S,428,front,0.1543613707165109,1.192512220027887
E14S,428,deep,0.01542056074766355,4.773177570093458
E15S,1084,persist,0.021555965559655596,0.7590343533152313
E15S,1084,enter,0.04707872078720787,0.8211276884965111
E15S,1084,exit,0.03871463714637147,0.7625455575136227
E15S,1084,front,0.1864391143911439,1.134285239551662
E15S,1084,deep,0.018265682656826567,0.8911981766876491
ALL,1512,persist,0.02072310405643739,1.0241442608789548
ALL,1512,enter,0.04638447971781305,1.1077382256869437
ALL,1512,exit,0.038558201058201055,1.0882580382580382
ALL,1512,front,0.17735890652557318,1.1747601970523194
ALL,1512,deep,0.01746031746031746,1.258390022675737
