state,mean_neu_frac,global_neu_frac,enrichment,n,p_perm
normoxic_stable,0.11166666666666665,0.09403495440729483,1.1875016835016834,20,0.22693266832917705
exiting_hypoxia,0.10452674897119339,0.09403495440729483,1.1115733466350748,81,0.13216957605985039
persistent_hypoxia,0.09999999999999998,0.09403495440729483,1.0634343434343432,45,0.5386533665835411
entering_hypoxia,0.09835390946502058,0.09403495440729483,1.0459292513613503,81,0.5311720698254364
entering_deep_hypoxia,0.07894736842105263,0.09403495440729483,0.8395534290271133,19,0.2743142144638404
transitional,0.08333333333333334,0.09403495440729483,0.8861952861952863,34,
reverted_stable,0.09185185185185184,0.09403495440729483,0.9767841376730265,45,
Hypoxic_Tumor,0.08275862068965517,0.09403495440729483,0.8800835945663532,29,0.3117206982543641
Tumor,0.09382716049382715,0.09403495440729483,0.9977902481606186,27,
Spp1_TAM,0.09230769230769231,0.09403495440729483,0.9816317016317018,260,
C1qc_TAM,0.0874920634920635,0.09403495440729483,0.9304206509539844,525,
