cell,median_dist_to_core,bg_median_dist,dist_ratio_vs_bg,p_dist,core_neighbor_enrichment,p_enrich,n,sample,core_def
Neutrophil,0.3793972068305729,0.4995560391207039,0.7594687625003409,1.711386113840114e-14,1.1281374563205677,0.001996007984031936,1230,E15S,persistent+enter_deep
CAF,0.4360848859345002,0.47656181076844223,0.9150646906249702,0.14471377056228157,0.9679385649148067,0.48902195608782434,387,E15S,persistent+enter_deep
NK,0.4488310303274995,0.4747021200965611,0.9455003702873729,0.6848732475863564,1.1030728450814844,0.09181636726546906,198,E15S,persistent+enter_deep
Resident_Macrophage,0.48535412438303294,0.47196516199038185,1.0283685396103959,0.7216936530528606,0.9894049443786432,0.7325349301397206,744,E15S,persistent+enter_deep
Monocyte,0.4852027263640743,0.47174145182904,1.0285352802532874,0.5234265976125515,0.9084969359533986,0.003992015968063872,713,E15S,persistent+enter_deep
Spp1_TAM,0.5058351899739695,0.46944995308165893,1.0775061040127136,0.20169614172298522,0.9747687765623911,0.5049900199600799,496,E15S,persistent+enter_deep
Il1b_TAM,0.5099642728134279,0.46971482753294136,1.0856891094792274,0.9445524431884798,0.948925485961123,0.3073852295409182,400,E15S,persistent+enter_deep
CD8_exhausted,0.5460399308916638,0.4721888721517238,1.1564015229825455,0.24012696907355058,0.8711447084233263,0.3253493013972056,35,E15S,persistent+enter_deep
C1qc_TAM,0.6325156549384406,0.45768935966002255,1.3819758785921554,1.1276233315008355e-10,0.8638369964583377,0.001996007984031936,1141,E15S,persistent+enter_deep
Neutrophil,0.32745437500124397,0.4052349579267522,0.8080605303070438,3.2459693527042406e-11,1.0857873733479428,0.001996007984031936,1230,E15S,Hypoxic_Tumor_annot
NK,0.35330355326112384,0.3962418592644693,0.8916361181954616,0.2681382301872074,1.060419502848787,0.2774451097804391,198,E15S,Hypoxic_Tumor_annot
CAF,0.3739752206412438,0.39526381136747357,0.9461408049156366,0.15423954796379102,1.0157145498243667,0.6327345309381237,387,E15S,Hypoxic_Tumor_annot
Monocyte,0.40500811323654134,0.39152626151746783,1.0344340930460727,0.9347458527579817,0.9136896663578467,0.007984031936127744,713,E15S,Hypoxic_Tumor_annot
Spp1_TAM,0.42211254174504514,0.3915385431720936,1.0780868170097708,0.23497381747539026,0.9790312516773119,0.5249500998003992,496,E15S,Hypoxic_Tumor_annot
Il1b_TAM,0.4383175086643146,0.3914769767240033,1.1196507961522717,0.0572909147804689,0.864060316139767,0.005988023952095809,400,E15S,Hypoxic_Tumor_annot
Resident_Macrophage,0.4402611630429351,0.3893622868572466,1.1307236933410292,0.0023429661294638617,0.9490707691481935,0.05788423153692615,744,E15S,Hypoxic_Tumor_annot
CD8_exhausted,0.4464526523134668,0.39280995396010215,1.1365614537324407,0.3428171005076436,1.068305205609698,0.5828343313373253,35,E15S,Hypoxic_Tumor_annot
C1qc_TAM,0.4624301283304137,0.38191265331960605,1.2108269372877418,1.3273149273379432e-10,0.8646264405949183,0.001996007984031936,1141,E15S,Hypoxic_Tumor_annot
