center,partner_a,partner_b,obs_cooccur,exp_indep,excess,p_perm,n_center,enrichment,sample
persistent_hypoxia,Spp1pos_TAM,Neutrophil,0.6,0.6014814814814815,-0.001481481481481528,0.8855721393034826,45,0.9975369458128078,E14S
persistent_hypoxia,Spp1pos_TAM,CAF,0.06666666666666667,0.07160493827160494,-0.004938271604938274,0.7860696517412935,45,0.9310344827586207,E14S
exiting_hypoxia,Spp1pos_TAM,C1qcpos_TAM,0.5432098765432098,0.5674439871970737,-0.024234110653863827,0.014925373134328358,81,0.9572925060435131,E14S
entering_hypoxia,Spp1pos_TAM,Neutrophil,0.6790123456790124,0.6654473403444596,0.013565005334552738,0.15920398009950248,81,1.0203847915712323,E14S
Hypoxic_Tumor,Spp1pos_TAM,Neutrophil,0.6896551724137931,0.7110582639714625,-0.021403091557669396,0.15422885572139303,29,0.9698996655518395,E14S
Hypoxic_Tumor,CAF,Spp1pos_TAM,0.0,0.0,0.0,1.0,29,,E14S
CD8_exhausted,C1qcpos_TAM,Il1bpos_TAM,0.9595959595959596,0.9501326395265788,0.009463320069380776,0.009950248756218905,198,1.0099599989261459,E14S
CD8_exhausted,Spp1pos_TAM,Neutrophil,0.6363636363636364,0.637485970819304,-0.0011223344556676729,0.8805970149253731,198,0.9982394366197185,E14S
CD8_exhausted,NK,C1qcpos_TAM,0.7676767676767676,0.7729058259361289,-0.005229058259361263,0.43283582089552236,198,0.99323454671463,E14S
Spp1pos_TAM,Neutrophil,Hypoxic_Tumor,0.13846153846153847,0.13442307692307692,0.004038461538461546,0.5024875621890548,260,1.0300429184549358,E14S
Spp1pos_TAM,CAF,Hypoxic_Tumor,0.015384615384615385,0.009807692307692307,0.005576923076923078,0.417910447761194,260,1.5686274509803924,E14S
Neutrophil,Spp1pos_TAM,entering_deep_hypoxia,0.052525252525252523,0.05940210182634425,-0.006876849301091725,0.4079601990049751,495,0.8842322226039162,E14S
Monocyte,Neutrophil,Il1bpos_TAM,0.8950988822012038,0.896216754930802,-0.0011178727295981794,0.04477611940298507,1163,0.9987526759308528,E14S
exiting_hypoxia,CAF,Stromal,0.0,0.002438652644413961,-0.002438652644413961,0.9154228855721394,81,0.0,E14S
entering_hypoxia,Monocyte,Il1bpos_TAM,0.9135802469135802,0.9144947416552355,-0.0009144947416552807,0.004975124378109453,81,0.999,E14S
normoxic_stable,CD8_exhausted,NK,0.4,0.315,0.08500000000000002,0.07462686567164178,20,1.26984126984127,E14S
persistent_hypoxia,Spp1pos_TAM,Neutrophil,0.7786259541984732,0.7838267000757532,-0.005200745877279922,0.03482587064676617,262,0.9933649289099525,E15S
persistent_hypoxia,Spp1pos_TAM,CAF,0.5572519083969466,0.5532894353475905,0.003962473049356152,0.7164179104477612,262,1.007161664033702,E15S
exiting_hypoxia,Spp1pos_TAM,C1qcpos_TAM,0.8017429193899782,0.7905411498901181,0.01120176949986007,0.004975124378109453,459,1.0141697487871657,E15S
entering_hypoxia,Spp1pos_TAM,Neutrophil,0.7441860465116279,0.7479117841475873,-0.003725737635959403,0.07462686567164178,387,0.995018479832878,E15S
entering_deep_hypoxia,Spp1pos_TAM,Neutrophil,0.7611940298507462,0.7606742407366154,0.0005197891141308641,0.8507462686567164,201,1.000683326825459,E15S
Hypoxic_Tumor,Spp1pos_TAM,Neutrophil,0.8125,0.8173828125,-0.0048828125,0.17412935323383086,32,0.994026284348865,E15S
Hypoxic_Tumor,CAF,Spp1pos_TAM,0.6875,0.7119140625,-0.0244140625,0.3582089552238806,32,0.9657064471879286,E15S
CD8_exhausted,C1qcpos_TAM,Il1bpos_TAM,0.5142857142857142,0.5142857142857142,0.0,1.0,35,1.0,E15S
CD8_exhausted,Spp1pos_TAM,Neutrophil,0.7428571428571429,0.7273469387755103,0.015510204081632617,0.04975124378109453,35,1.021324354657688,E15S
CD8_exhausted,NK,C1qcpos_TAM,0.6,0.6,0.0,1.0,35,1.0,E15S
Spp1pos_TAM,Neutrophil,Hypoxic_Tumor,0.11491935483870967,0.11535835067637877,-0.00043899583766909833,0.8407960199004975,496,0.9961945031712474,E15S
Spp1pos_TAM,CAF,Hypoxic_Tumor,0.09879032258064516,0.09243301248699272,0.006357310093652438,0.48756218905472637,496,1.068777484608619,E15S
CAF,Spp1pos_TAM,persistent_hypoxia,0.4883720930232558,0.4910762574364521,-0.0027041644131963194,0.8208955223880597,387,0.9944933920704846,E15S
Neutrophil,Spp1pos_TAM,entering_deep_hypoxia,0.4349593495934959,0.4419591512988301,-0.006999801705334208,0.5024875621890548,1230,0.9841618808327349,E15S
Monocyte,Neutrophil,Il1bpos_TAM,0.6844319775596073,0.6912400244704142,-0.006808046910806942,0.004975124378109453,713,0.9901509654102816,E15S
exiting_hypoxia,CAF,Stromal,0.7058823529411765,0.7142552009910719,-0.008372848049895354,0.01990049751243781,459,0.9882775119617224,E15S
entering_hypoxia,Monocyte,Il1bpos_TAM,0.5633074935400517,0.5609572074327798,0.0023502861072719483,0.7114427860696517,387,1.0041897778941606,E15S
normoxic_stable,CD8_exhausted,NK,0.04182509505703422,0.036808396825167344,0.005016698231866873,0.6467661691542289,263,1.136292223095051,E15S
