from,to,median_dist,n_from,sample
normoxic_stable,normoxic_stable,0.7963170377409725,263,E15S
normoxic_stable,exiting_hypoxia,0.5157461313516749,263,E15S
normoxic_stable,persistent_hypoxia,0.7908480954464195,263,E15S
normoxic_stable,entering_hypoxia,0.5079777025264375,263,E15S
normoxic_stable,entering_deep_hypoxia,1.0079500094643812,263,E15S
exiting_hypoxia,normoxic_stable,0.7615034777430753,459,E15S
exiting_hypoxia,exiting_hypoxia,0.4441012683735123,459,E15S
exiting_hypoxia,persistent_hypoxia,0.6488831276169096,459,E15S
exiting_hypoxia,entering_hypoxia,0.4994862899200746,459,E15S
exiting_hypoxia,entering_deep_hypoxia,0.8272469555737612,459,E15S
persistent_hypoxia,normoxic_stable,0.7879301899338895,262,E15S
persistent_hypoxia,exiting_hypoxia,0.45900013121451344,262,E15S
persistent_hypoxia,persistent_hypoxia,0.7293311821378615,262,E15S
persistent_hypoxia,entering_hypoxia,0.5152864956349612,262,E15S
persistent_hypoxia,entering_deep_hypoxia,0.8540660726367922,262,E15S
entering_hypoxia,normoxic_stable,0.7365336508473805,387,E15S
entering_hypoxia,exiting_hypoxia,0.4767807718922579,387,E15S
entering_hypoxia,persistent_hypoxia,0.8107066334315324,387,E15S
entering_hypoxia,entering_hypoxia,0.5897248217515207,387,E15S
entering_hypoxia,entering_deep_hypoxia,0.9041158456729677,387,E15S
entering_deep_hypoxia,normoxic_stable,0.811086541749613,201,E15S
entering_deep_hypoxia,exiting_hypoxia,0.39300041530398655,201,E15S
entering_deep_hypoxia,persistent_hypoxia,0.6761163836709212,201,E15S
entering_deep_hypoxia,entering_hypoxia,0.5194021553283121,201,E15S
entering_deep_hypoxia,entering_deep_hypoxia,0.8026021738746234,201,E15S
