umap1,umap2,cell_type,sample,annotation_source
-2.9620163,0.5665081,Spp1+ TAM,E14S,transferred
-0.7668429,-7.682698,Neutrophil,E14S,transferred
-6.089621,1.7287567,Spp1+ TAM,E14S,transferred
26.63338,3.2121215,Hypoxic Tumor,E14S,transferred
2.5485334,-7.6014643,Neutrophil,E14S,transferred
-6.2788515,4.813944,Resident Macrophage,E14S,transferred
0.7376662,5.1837635,cDC,E14S,transferred
-1.8986027,1.8484135,Monocyte,E14S,transferred
3.3439152,12.350289,CD8 Exhausted Proliferating,E14S,transferred
-3.7795708,5.4091115,C1qc+ TAM,E14S,transferred
26.369564,4.3515487,Tumor,E14S,transferred
2.340789,14.9776325,NK,E14S,transferred
3.2441916,13.152716,CD8 Terminally Exhausted,E14S,transferred
0.2739784,5.1803336,cDC,E14S,transferred
-4.621046,2.4690478,Il1b+ TAM,E14S,transferred
2.181877,14.666649,NK,E14S,transferred
16.599672,6.7835236,Hypoxic Tumor,E14S,transferred
0.1599465,5.008218,cDC,E14S,transferred
23.07362,4.2598476,Hypoxic Tumor,E14S,transferred
16.802755,6.5812545,Hypoxic Tumor,E14S,transferred
-0.7554542,-8.04029,Neutrophil,E14S,transferred
-4.4559693,2.2025623,Il1b+ TAM,E14S,transferred
-4.017085,2.6050327,Il1b+ TAM,E14S,transferred
17.142574,7.909791,Hypoxic Tumor,E14S,transferred
16.754845,6.25653,Hypoxic Tumor,E14S,knn
0.7065823,-8.170084,Neutrophil,E14S,transferred
-5.442672,3.4777887,Resident Macrophage,E14S,transferred
-5.5444093,5.200697,C1qc+ TAM,E14S,transferred
2.8858984,11.464584,CD8 Terminally Exhausted,E14S,transferred
-6.3568997,2.631087,Resident Macrophage,E14S,transferred
-5.9558506,2.587744,Il1b+ TAM,E14S,transferred
17.045534,6.4334307,Hypoxic Tumor,E14S,transferred
0.8119247,-5.8581157,Neutrophil,E14S,transferred
-6.4078994,3.3064094,Resident Macrophage,E14S,transferred
-2.289861,2.5860488,Monocyte,E14S,transferred
-4.294717,4.7689347,C1qc+ TAM,E14S,transferred
-0.9918468,2.7352185,Monocyte,E14S,transferred
26.652082,3.7574093,Hypoxic Tumor,E14S,transferred
-1.7948482,2.8256857,Monocyte,E14S,transferred
-5.701236,1.7065547,Spp1+ TAM,E14S,transferred
-2.1298811,2.1570704,Monocyte,E14S,transferred
-5.50604,4.691791,Resident Macrophage,E14S,transferred
0.43473437,5.3064556,cDC,E14S,transferred
-3.531323,6.9084463,C1qc+ TAM,E14S,transferred
-2.211067,3.5403724,Monocyte,E14S,transferred
-5.5308037,3.5059624,Il1b+ TAM,E14S,transferred
-5.6475554,3.765641,Resident Macrophage,E14S,transferred
2.5664914,7.6075296,mDC,E14S,transferred
0.5226712,-5.8876247,Neutrophil,E14S,transferred
-3.0574741,5.931658,C1qc+ TAM,E14S,transferred
-6.1595917,5.1098313,Resident Macrophage,E14S,transferred
1.7148131,14.063343,NK,E14S,transferred
23.716473,6.100446,Hypoxic Tumor,E14S,transferred
-5.0204587,2.7272785,Il1b+ TAM,E14S,transferred
-5.6674795,4.694861,Resident Macrophage,E14S,transferred
-4.098543,2.981522,Resident Macrophage,E14S,transferred
-4.582016,2.8007145,Il1b+ TAM,E14S,transferred
-2.3183026,3.1503782,Monocyte,E14S,transferred
0.8284895,5.5763283,cDC,E14S,transferred
2.907835,12.940682,CD8 Terminally Exhausted,E14S,transferred
-3.6715057,2.3493896,Il1b+ TAM,E14S,transferred
0.32782534,4.884893,cDC,E14S,transferred
2.7910445,12.672693,CD8 Terminally Exhausted,E14S,transferred
-0.9434661,3.7325575,Monocyte,E14S,transferred
-0.5123025,-0.17649736,Monocyte,E14S,transferred
25.589178,4.6987457,Tumor,E14S,transferred
-3.82281,5.109499,C1qc+ TAM,E14S,transferred
26.024096,5.208118,Tumor,E14S,transferred
-4.0798254,5.4075475,C1qc+ TAM,E14S,transferred
18.454412,9.260178,Stromal,E14S,transferred
16.69415,6.428628,Hypoxic Tumor,E14S,transferred
17.00052,8.044728,Tumor,E14S,transferred
-1.6270684,4.4753375,Resident Macrophage,E14S,transferred
-0.21766832,1.5292087,Monocyte,E14S,transferred
-3.70766,6.7842765,Resident Macrophage,E14S,transferred
-1.3749411,4.1114554,Resident Macrophage,E14S,transferred
1.5479032,14.291048,NK,E14S,transferred
1.752367,7.2582207,mDC,E14S,transferred
-0.5534163,-0.43163604,Monocyte,E14S,transferred
2.9972043,12.306707,Monocyte,E14S,transferred
-1.7825807,2.778819,Monocyte,E14S,transferred
-1.5574839,2.0194054,Monocyte,E14S,transferred
-4.0440264,2.3826253,Il1b+ TAM,E14S,transferred
-1.4771488,3.0520134,Monocyte,E14S,transferred
2.9349508,12.492776,CD4 T,E14S,transferred
2.0468483,14.226888,NK,E14S,transferred
-2.1677012,2.4782386,Monocyte,E14S,transferred
18.75339,7.2484384,Hypoxic Tumor,E14S,transferred
-0.30943346,-0.15820847,Monocyte,E14S,transferred
-3.6302183,6.4315686,C1qc+ TAM,E14S,transferred
2.2245767,7.3708816,mDC,E14S,transferred
-6.4416394,2.292602,Spp1+ TAM,E14S,transferred
2.3214006,-7.423508,Neutrophil,E14S,transferred
-5.8079944,3.518928,Spp1+ TAM,E14S,transferred
-5.0391326,0.6697579,Spp1+ TAM,E14S,transferred
-3.1631594,1.6794728,Il1b+ TAM,E14S,transferred
-5.7638664,3.7758348,Resident Macrophage,E14S,transferred
-1.6189643,0.5406481,Monocyte,E14S,transferred
2.124351,14.62027,NK,E14S,transferred
0.7089905,4.9250994,cDC,E14S,transferred
-4.209865,1.4682465,Il1b+ TAM,E14S,transferred
-4.069828,2.0454314,Il1b+ TAM,E14S,transferred
-1.1712892,0.17212053,Il1b+ TAM,E14S,transferred
0.35067412,4.9748755,cDC,E14S,transferred
-5.010814,2.6336544,Il1b+ TAM,E14S,transferred
-2.715212,3.7426417,Monocyte,E14S,transferred
17.621237,8.651795,Hypoxic Tumor,E14S,transferred
0.85011554,5.465878,cDC,E14S,transferred
-0.0354833,0.18812129,Monocyte,E14S,transferred
-6.587442,1.050602,Resident Macrophage,E14S,transferred
-5.030232,4.7067056,C1qc+ TAM,E14S,transferred
3.2799459,13.096733,CD8 Exhausted Proliferating,E14S,transferred
16.643938,6.497609,Hypoxic Tumor,E14S,transferred
